nct,status,start_date,phases,sponsor,sponsor_class,intervention_names,intervention_other_names,n_sites,countries,has_us_or_eu_site,fetched_date
NCT04106076,WITHDRAWN,2019-07-11,PHASE1,Cellectis S.A.,INDUSTRY,UCART123,,0,,False,2026-09-07
NCT04205838,TERMINATED,2020-03-04,PHASE2,Jonsson Comprehensive Cancer Center,OTHER,Anakinra|Axicabtagene Ciloleucel|Cyclophosphamide|Fludarabine|Fludarabine Phosphate,"Kinaret;Kineret;rIL-1ra;rIL1RN|KTE C19;KTE-C19;KTE-C19 CAR;Yescarta|(-)-Cyclophosphamide;2H-1,3,2-Oxazaphosphorine, 2-[bis(2-chloroethyl)amino]tetrahydro-, 2-oxide, monohydrate;Carloxan;Ciclofosfamida;Ciclofosfamide;Cicloxal;Clafen;Claphene;CP monohydrate;CTX;CYCLO-cell;Cycloblastin;Cycloblastine;Cyclophospham;Cyclophosphamid monohydrate;Cyclophosphamide Monohydrate;Cyclophosphamidum;Cyclophosphan;Cyclophosphane;Cyclophosphanum;Cyclostin;Cyclostine;Cytophosphan;Cytophosphane;Cytoxan;Fosfaseron;Genoxal;Genuxal;Ledoxina;Mitoxan;Neosar;Revimmune;Syklofosfamid;WR- 138719|Fluradosa|2-F-ara-AMP;9H-Purin-6-amine, 2-fluoro-9-(5-O-phosphono-.beta.-D-arabinofuranosyl)-;Beneflur;Fludara;SH T 586",2,United States,True,2026-09-07
NCT04264078,UNKNOWN,2021-03-01,EARLY_PHASE1,Xinqiao Hospital of Chongqing,OTHER,CD7 UCAR-T cells|Fludarabine|Cytoxan|Melphalan,|||,1,China,False,2026-09-07
NCT04257175,UNKNOWN,2020-02-18,PHASE2|PHASE3,Sheba Medical Center,OTHER_GOV,CAR-T CD19,,1,Israel,False,2026-09-07
NCT04249947,TERMINATED,2020-02-28,PHASE1,"Poseida Therapeutics, Inc.",INDUSTRY,P-PSMA-101 CAR-T cells|Rimiducid,|,10,United States,True,2026-09-07
NCT04119024,RECRUITING,2025-10-07,PHASE1,Anusha Kalbasi,OTHER,Biopsy|Biospecimen Collection|Computed Tomography|Cyclophosphamide|Fludarabine Phosphate|Fludeoxyglucose F-18|IL13Ralpha2-specific Hinge-optimized 4-1BB-co-stimulatory CAR/Truncated CD19-expressing Autologous TN/MEM Cells|Magnetic Resonance Imaging|Positron Emission Tomography,"BIOPSY_TYPE;Bx|Biological Sample Collection;Biospecimen Collected;Specimen Collection|CAT;CAT Scan;Computed Axial Tomography;Computerized Axial Tomography;Computerized axial tomography (procedure);Computerized Tomography;Computerized Tomography (CT) scan;CT;CT Scan;tomography|(-)-Cyclophosphamide;2H-1,3,2-Oxazaphosphorine, 2-[bis(2-chloroethyl)amino]tetrahydro-, 2-oxide, monohydrate;Asta B 518;B-518;Carloxan;Ciclofosfamida;Ciclofosfamide;Cicloxal;Clafen;Claphene;CP monohydrate;CTX;CYCLO-cell;Cycloblastin;Cycloblastine;Cyclophospham;Cyclophosphamid monohydrate;Cyclophosphamide Monohydrate;Cyclophosphamidum;Cyclophosphan;Cyclophosphane;Cyclophosphanum;Cyclostin;Cyclostine;Cytophosphan;Cytophosphane;Cytoxan;Fosfaseron;Genoxal;Genuxal;Ledoxina;Mitoxan;Neosar;Revimmune;Syklofosfamid;WR- 138719;WR-138719|2-F-ara-AMP;9H-Purin-6-amine, 2-fluoro-9-(5-O-phosphono-.beta.-D-arabinofuranosyl)-;Beneflur;Fludara;SH T 586|18FDG;FDG;Fludeoxyglucose (18F);fludeoxyglucose F 18;Fludeoxyglucose F18;Fluorine-18 2-Fluoro-2-deoxy-D-Glucose;Fluorodeoxyglucose F18|IL13 [EQ]BBzeta/truncated CD19[t]+ Naive and Memory T Cells;IL13 [EQ]BBzeta/truncated CD19[t]+ TN/MEM Cells;IL13Ra2-specific-hinge-optimized-4-1BB-CAR/truncated CD19-expressing Autologous TN/MEM Lymphocytes|Magnetic Resonance;Magnetic Resonance Imaging (MRI);Magnetic resonance imaging (procedure);Magnetic Resonance Imaging Scan;Medical Imaging, Magnetic Resonance / Nuclear Magnetic Resonance;MR;MR Imaging;MRI;MRI Scan;MRIs;NMR Imaging;NMRI;Nuclear Magnetic Resonance Imaging;sMRI;Structural MRI|Medical Imaging, Positron Emission Tomography;PET;PET Scan;Positron emission tomography (procedure);Positron Emission Tomography Scan;Positron-Emission Tomography;proton magnetic resonance spectroscopic imaging;PT",3,United States,True,2026-09-07
NCT04129099,UNKNOWN,2019-10-22,EARLY_PHASE1,Hebei Yanda Ludaopei Hospital,OTHER,GC022F,,1,China,False,2026-09-07
NCT04099797,RECRUITING,2020-02-03,PHASE1,Baylor College of Medicine,OTHER,C7R-GD2.CART cells (IV and ICV infusion)|C7R-GD2.CART cells (IV and ICV infusion),|,1,United States,True,2026-09-07
NCT04500431,UNKNOWN,2018-07-01,PHASE1,"Shanghai Tongji Hospital, Tongji University School of Medicine",OTHER,Targeting CD269 chimeric antigen receptor engineered T cells,spCART-269,1,China,False,2026-09-07
NCT04295096,UNKNOWN,2020-04-01,NA,Jun Zhu,OTHER,Peripheral blood mononuclear cell apheresis,,1,China,False,2026-09-07
NCT04483440,ACTIVE_NOT_RECRUITING,2020-06-02,PHASE1,4D Molecular Therapeutics,INDUSTRY,4D-110,,2,United States,True,2026-09-07
NCT04510051,RECRUITING,2020-12-04,PHASE1,City of Hope Medical Center,OTHER,Cyclophosphamide|Fludarabine|IL13Ralpha2-specific Hinge-optimized 41BB-co-stimulatory CAR Truncated CD19-expressing Autologous T-Lymphocytes,"(-)-Cyclophosphamide;2H-1,3,2-Oxazaphosphorine, 2-[bis(2-chloroethyl)amino]tetrahydro-, 2-oxide, monohydrate;Carloxan;Ciclofosfamida;Ciclofosfamide;Cicloxal;Clafen;Claphene;CP monohydrate;CTX;CYCLO-cell;Cycloblastin;Cycloblastine;Cyclophospham;Cyclophosphamid monohydrate;Cyclophosphamide Monohydrate;Cyclophosphamidum;Cyclophosphan;Cyclophosphane;Cyclophosphanum;Cyclostin;Cyclostine;Cytophosphan;Cytophosphane;Cytoxan;Fosfaseron;Genoxal;Genuxal;Ledoxina;Mitoxan;Neosar;Revimmune;Syklofosfamid;WR- 138719|Fluradosa|Autologous IL13(EQ)BBzeta/CD19t+ TCM-enriched T Cells",3,United States,True,2026-09-07
NCT04411654,ACTIVE_NOT_RECRUITING,2021-06-29,PHASE1|PHASE2,Prevail Therapeutics,INDUSTRY,LY3884961|Methylprednisolone|Sirolimus|Prednisone,|||,6,United Kingdom|United States,True,2026-09-07
NCT04404660,ACTIVE_NOT_RECRUITING,2020-06-03,PHASE1|PHASE2,Autolus Limited,INDUSTRY,AUTO1,Obecabtagene autoleucel (obe-cel),34,Spain|United Kingdom|United States,True,2026-09-07
NCT04429438,NOT_YET_RECRUITING,2027-06-01,PHASE1|PHASE2,Shenzhen Geno-Immune Medical Institute,OTHER,4SCAR19 and 4SCAR20/22/70/PSMA/13/79b/GD2,,1,China,False,2026-09-07
NCT04531046,ACTIVE_NOT_RECRUITING,2021-03-10,PHASE2,The Lymphoma Academic Research Organisation,OTHER,axicabtagene ciloleucel,axi-cel,16,Belgium|France,True,2026-09-07
NCT04370054,ACTIVE_NOT_RECRUITING,2020-08-18,PHASE3,Pfizer,INDUSTRY,PF-07055480 (giroctocogene fitelparovec): Recombinant AAV2/6 Human Factor VIII Gene Therapy,Gene Therapy,45,Australia|Brazil|Canada|France|Germany|Greece|Italy|Japan|Saudi Arabia|South Korea|Spain|Sweden|Taiwan|Turkey (Türkiye)|United Kingdom|United States,True,2026-09-07
NCT04422912,RECRUITING,2020-09-29,PHASE1|PHASE2,Cabaletta Bio,INDUSTRY,DSG3-CAART|CABA-201,|,13,United States,True,2026-09-07
NCT04488354,COMPLETED,2021-01-21,PHASE1,"Calibr, a division of Scripps Research",OTHER,CLBR001 and SWI019,,8,United States,True,2026-09-07
NCT04486872,UNKNOWN,2020-07-25,PHASE1,First Affiliated Hospital of Zhejiang University,OTHER,Autologous humanized anti-CD19 and anti-CD20 dual specific CAR-T Cells,,1,China,False,2026-09-07
NCT04288726,ACTIVE_NOT_RECRUITING,2020-09-16,PHASE1,Baylor College of Medicine,OTHER,CD30.CAR-EBVST cells,Allogeneic CD30 Chimeric Antigen Receptor Epstein-Barr Virus-Specific T Lymphocytes,2,United States,True,2026-09-07
NCT04340167,COMPLETED,2020-05-01,PHASE2,Beijing Boren Hospital,OTHER,Autologous humanized anti-CD22 chimeric antigen receptor T cells,,1,China,False,2026-09-07
NCT04502446,TERMINATED,2020-07-31,PHASE1,CRISPR Therapeutics AG,INDUSTRY,CTX130,,10,Australia|Canada|United States,True,2026-09-07
NCT04432649,NOT_YET_RECRUITING,2027-06-01,PHASE1|PHASE2,Shenzhen Geno-Immune Medical Institute,OTHER,4SCAR-276,CD276-specific 4th Generation CART,1,China,False,2026-09-07
NCT04309981,UNKNOWN,2020-05-27,PHASE1|PHASE2,Sara V. Latorre,OTHER,Adult differentiated autologous T-cells with anti-BCMA specificity,CARTBCMA,7,Spain,True,2026-09-07
NCT04303520,UNKNOWN,2018-05-03,PHASE1,The Second Affiliated Hospital of Henan University of Traditional Chinese Medicine,OTHER,anti-CD19/CD22 CAR-T cells|Fludarabine|Cyclophosphamide,||,1,China,False,2026-09-07
NCT04516551,UNKNOWN,2020-11-20,PHASE1,Xinqiao Hospital of Chongqing,OTHER,anti-CD19 allo-CAR-T cells,,1,China,False,2026-09-07
NCT04429451,NOT_YET_RECRUITING,2026-12-31,PHASE1|PHASE2,Shenzhen Geno-Immune Medical Institute,OTHER,4SCAR-PSMA T cells,,1,China,False,2026-09-07
NCT04525352,TERMINATED,2020-11-19,PHASE1,Rocket Pharmaceuticals Inc.,INDUSTRY,RP-L401,,1,United States,True,2026-09-07
NCT04447573,UNKNOWN,2020-06-30,NA,"Hebei Senlang Biotechnology Inc., Ltd.",INDUSTRY,BCMA CAR-T,,2,China,False,2026-09-07
NCT04404595,ACTIVE_NOT_RECRUITING,2020-10-23,PHASE1|PHASE2,"CARsgen Therapeutics Co., Ltd.",INDUSTRY,CT041,,16,Canada|United States,True,2026-09-07
NCT04322292,COMPLETED,2019-09-12,PHASE1,"Institute of Hematology & Blood Diseases Hospital, China",OTHER,C-CAR088,,1,China,False,2026-09-07
NCT04394650,COMPLETED,2020-08-18,PHASE1,"Juno Therapeutics, a Subsidiary of Celgene",INDUSTRY,CC-98633,,11,United States,True,2026-09-07
NCT04314843,TERMINATED,2020-05-26,PHASE1,"Kite, A Gilead Company",INDUSTRY,Cyclophosphamide|Fludarabine|Lenzilumab|Axicabtagene Ciloleucel,||Humaneered® anti-human GM-CSF monoclonal antibody|Yescarta®,10,United States,True,2026-09-07
NCT04483778,ACTIVE_NOT_RECRUITING,2020-07-13,PHASE1,Seattle Children's Hospital,OTHER,second generation 4-1BBζ B7H3-EGFRt-DHFR|second generation 4-1BBζ B7H3-EGFRt-DHFR(selected) and a second generation 4-1BBζ CD19-Her2tG|Pembrolizumab,||,1,United States,True,2026-09-07
NCT04486833,RECRUITING,2021-09-03,PHASE1|PHASE2,"Genprex, Inc.",INDUSTRY,quaratusugene ozeplasmid|osimertinib|Platinum-Based Chemotherapy,Reqorsa|Tagrisso|cisplatin;carboplatin,10,United States,True,2026-09-07
NCT04512716,RECRUITING,2021-02-02,EARLY_PHASE1,Memorial Sloan Kettering Cancer Center,OTHER,131-I Apamistamab|CAR T-cell,Iomab-B|,7,United States,True,2026-09-07
NCT04489862,UNKNOWN,2020-05-13,EARLY_PHASE1,"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",OTHER,αPD1-MSLN-CAR T cells,,1,China,False,2026-09-07
NCT04359784,COMPLETED,2021-12-27,PHASE2,Fred Hutchinson Cancer Center,OTHER,Anakinra|X-Ray Imaging|Positron Emission Tomography|Computed Tomography|Bone Marrow Aspiration|Bone Marrow Biopsy|Lumbar Puncture|Biospecimen Collection,Kinaret;Kineret;rIL-1ra;rIL1RN;143090-92-0|Conventional X-Ray;Diagnostic Radiology;Medical Imaging;Radiographic Imaging|Medical Imaging;PET scan|CAT Scan;Computed Axial Tomography;CT scan|||LP;spinal tap|Biological Sample Collection,1,United States,True,2026-09-07
NCT04467853,TERMINATED,2020-09-21,PHASE1,Shanghai East Hospital,OTHER,LCAR-C18S cells,,3,China,False,2026-09-07
NCT04412174,UNKNOWN,2020-06,EARLY_PHASE1,Hebei Yanda Ludaopei Hospital,OTHER,GC022F,,1,China,False,2026-09-07
NCT04420754,ACTIVE_NOT_RECRUITING,2020-09-28,PHASE1,"AffyImmune Therapeutics, Inc.",INDUSTRY,AIC100 CAR T Cells,AIC100,4,United States,True,2026-09-07
NCT04430530,TERMINATED,2026-06-01,PHASE1|PHASE2,Shenzhen Geno-Immune Medical Institute,OTHER,Infusion of 4SCAR-T specific to CD22/CD123/CD38/ CD10/CD20,,1,China,False,2026-09-07
NCT04419909,WITHDRAWN,2026-05,PHASE1,University of Pennsylvania,OTHER,CD19 redirected autologous T cells (CTL019 or CTL119 cells),,1,United States,True,2026-09-07
NCT04406610,WITHDRAWN,2015-09-01,PHASE1|PHASE2,"Fuda Cancer Hospital, Guangzhou",OTHER,GD2 CAR-T immunotherapy,CAR-T for glioma,0,,False,2026-09-07
NCT04499573,ACTIVE_NOT_RECRUITING,2020-07-27,PHASE1|PHASE2,"Federal Research Institute of Pediatric Hematology, Oncology and Immunology",OTHER,CD19/CD22 CAR-T,Fludarabine;Cyclophosphamide;Cytarabine;Etoposide;Dexamethasone;Tocilizumab;Allogeneic HSCT,1,Russia,False,2026-09-07
NCT04503278,ACTIVE_NOT_RECRUITING,2020-09-16,PHASE1,BioNTech Cell & Gene Therapies GmbH,INDUSTRY,CLDN6 CAR-T|CLDN6 uRNA-LPX/CLDN6 modRNA-LPX,|,12,Australia|Germany|Netherlands|Sweden,True,2026-09-07
NCT04418427,COMPLETED,2020-05-28,PHASE2,"Adverum Biotechnologies, Inc.",INDUSTRY,6E11 vg/eye of ADVM-022|2E11 vg/eye of ADVM-022|Aflibercept,AAV.7m8-aflibercept|AAV.7m8-aflibercept|Eylea,14,Puerto Rico|United States,True,2026-09-07
NCT04480788,UNKNOWN,2020-11-24,PHASE1,"PersonGen BioTherapeutics (Suzhou) Co., Ltd.",INDUSTRY,T cell injection targeting CD7 chimeric antigen receptor,,1,China,False,2026-09-07
NCT04351022,UNKNOWN,2017-07-01,PHASE1|PHASE2,The First Affiliated Hospital of Soochow University,OTHER,CART-38,,1,China,False,2026-09-07
NCT04336501,UNKNOWN,2019-01-01,NA,"Beijing Immunochina Medical Science & Technology Co., Ltd.",INDUSTRY,IM19 CAR-T,,1,China,False,2026-09-07
NCT04289220,UNKNOWN,2020-03-15,PHASE1,Yan'an Affiliated Hospital of Kunming Medical University,OTHER,Anti-CD19 CAR-T Cells Injection,,1,China,False,2026-09-07
NCT04464200,ACTIVE_NOT_RECRUITING,2020-07-06,PHASE1,Memorial Sloan Kettering Cancer Center,OTHER,19(T2)28z1xx CAR T cells,,7,United States,True,2026-09-07
NCT04503980,UNKNOWN,2020-03-26,EARLY_PHASE1,"Shanghai Cell Therapy Group Co.,Ltd",INDUSTRY,αPD1-MSLN-CAR T cells,,1,China,False,2026-09-07
NCT04427449,TERMINATED,2026-06-01,PHASE1|PHASE2,Shenzhen Geno-Immune Medical Institute,OTHER,CD44v6-specific CAR gene-engineered T cells,,1,China,False,2026-09-07
NCT04418414,NOT_YET_RECRUITING,2024-09-01,PHASE1,"Expression Therapeutics, LLC",INDUSTRY,Gene therapy|Biological,CD68-ET3-LV CD34+|,0,,False,2026-09-07
NCT04377932,ACTIVE_NOT_RECRUITING,2021-08-08,PHASE1,Baylor College of Medicine,OTHER,AGAR T cells,GPC3-CAR T cells,1,United States,True,2026-09-07
NCT04408625,ACTIVE_NOT_RECRUITING,2020-11-09,PHASE1|PHASE2,Prevail Therapeutics,INDUSTRY,LY3884963|Methylprednisolone|Optional Sirolimus|Optional Prednisone,|||,12,Australia|Belgium|France|Spain|United Kingdom|United States,True,2026-09-07
NCT04299724,TERMINATED,2026-06-01,PHASE1,Shenzhen Geno-Immune Medical Institute,OTHER,Pathogen-specific aAPC,,1,China,False,2026-09-07
NCT04340154,TERMINATED,2020-05-01,PHASE2,Beijing Boren Hospital,OTHER,chimeric antigen receptor T cell,,1,China,False,2026-09-07
NCT04433221,NOT_YET_RECRUITING,2027-07-01,PHASE1|PHASE2,Shenzhen Geno-Immune Medical Institute,OTHER,Multiple sarcoma-specific CAR-T cells and sarcoma vaccines,,1,China,False,2026-09-07
NCT04324996,UNKNOWN,2020-02-21,PHASE1|PHASE2,Chongqing Public Health Medical Center,OTHER,"NK cells,IL15-NK cells,NKG2D CAR-NK cells,ACE2 CAR-NK cells,NKG2D-ACE2 CAR-NK cells",,1,China,False,2026-09-07
NCT04412889,UNKNOWN,2020-06,EARLY_PHASE1,Hebei Yanda Ludaopei Hospital,OTHER,BCMA/CD19 dual-target CAR-T cell immunotherapy,,1,China,False,2026-09-07
NCT04430595,NOT_YET_RECRUITING,2027-06-01,PHASE1|PHASE2,Shenzhen Geno-Immune Medical Institute,OTHER,4SCAR T cells,,1,China,False,2026-09-07
NCT04385173,UNKNOWN,2022-12-01,PHASE1,"Second Affiliated Hospital, Zhejiang University, School of Medicine",OTHER,B7-H3 CAR-T|Temozolomide,BP102|TMZ,1,China,False,2026-09-07
NCT04318327,TERMINATED,2020-07-23,PHASE1,Novartis Pharmaceuticals,INDUSTRY,PHE885,,9,Australia|Israel|Singapore|United States,True,2026-09-07
NCT04450069,COMPLETED,2020-08-14,PHASE1,"Calibr, a division of Scripps Research",OTHER,CLBR001 and SWI019,,8,United States,True,2026-09-07
NCT04499339,UNKNOWN,2020-07-22,PHASE1|PHASE2,Wuerzburg University Hospital,OTHER,SLAMF7 CAR-T,,3,France|Germany|Spain,True,2026-09-07
NCT04484012,RECRUITING,2020-12-31,PHASE2,City of Hope Medical Center,OTHER,Acalabrutinib|CD19CAR-CD28-CD3zeta-EGFRt-expressing Tn/mem-enriched T-lymphocytes,ACP-196;Bruton Tyrosine Kinase Inhibitor ACP-196;Calquence|CD19CAR-CD28-CD3zeta-EGFRt-expressing Tn/mem-enriched T Cells;CD19R(EQ)28zeta/EGFRt+ Naive and Memory T Cells;CD19R(EQ)28zetaEGFRt+ Tn/mem Cells,1,United States,True,2026-09-07
NCT04532281,RECRUITING,2020-11-01,EARLY_PHASE1,Zhejiang University,OTHER,Murine CD19 CAR-T cells,Murine CD19 CAR-T cells injection,1,China,False,2026-09-07
NCT04532203,RECRUITING,2020-11-01,EARLY_PHASE1,Zhejiang University,OTHER,CAR-T cells|Ommaya Reservoir,CAR-T cells injection|,1,China,False,2026-09-07
NCT04426669,COMPLETED,2020-05-15,PHASE1|PHASE2,"Intima Bioscience, Inc.",INDUSTRY,Cyclophosphamide|Fludarabine|Tumor-Infiltrating Lymphocytes (TIL)|Aldesleukin,"|||Interleukin-2, IL-2",1,United States,True,2026-09-07
NCT04293185,ACTIVE_NOT_RECRUITING,2020-02-14,PHASE3,Genetix Biotherapeutics Inc.,INDUSTRY,bb1111,"lovotibeglogene autotemcel;lovo-cel;LentiGlobin BB305 Drug Product for SCD;autologous CD34+ cell-enriched population from patients with SCD that contains HSCs transduced with BB305 LVV encoding the βA-T87Q-globin gene, suspended in cryopreservation solution",9,United States,True,2026-09-07
NCT04440436,RECRUITING,2020-06-04,PHASE1|PHASE2,"Beijing Immunochina Medical Science & Technology Co., Ltd.",INDUSTRY,IM19 CAR-T Cells,Fludarabine;Cyclophosphamide,1,China,False,2026-09-07
NCT04384393,UNKNOWN,2020-05-09,PHASE1,"Fundamenta Therapeutics, Ltd.",INDUSTRY,ThisCART19 cells,,2,China,False,2026-09-07
NCT04432506,COMPLETED,2020-07-27,PHASE2,M.D. Anderson Cancer Center,OTHER,Anakinra|Axicabtagene Ciloleucel|Cyclophosphamide|Fludarabine,"Kinaret;Kineret;rIL-1ra;rIL1RN|KTE C19;KTE-C19;KTE-C19 CAR;Yescarta|(-)-Cyclophosphamide;2H-1,3,2-Oxazaphosphorine, 2-[bis(2-chloroethyl)amino]tetrahydro-, 2-oxide, monohydrate;Carloxan;Ciclofosfamida;Ciclofosfamide;Cicloxal;Clafen;Claphene;CP monohydrate;CTX;CYCLO-cell;Cycloblastin;Cycloblastine;Cyclophospham;Cyclophosphamid monohydrate;Cyclophosphamide Monohydrate;Cyclophosphamidum;Cyclophosphan;Cyclophosphane;Cyclophosphanum;Cyclostin;Cyclostine;Cytophosphan;Cytophosphane;Cytoxan;Fosfaseron;Genoxal;Genuxal;Ledoxina;Mitoxan;Neosar;Revimmune;Syklofosfamid;WR- 138719|Fluradosa",1,United States,True,2026-09-07
NCT04416984,ACTIVE_NOT_RECRUITING,2020-05-21,PHASE1|PHASE2,Allogene Therapeutics,INDUSTRY,ALLO-501A|ALLO-647|Fludarabine|Cyclophosphamide,|||,29,Australia|Canada|United States,True,2026-09-07
NCT04303247,UNKNOWN,2020-05-01,EARLY_PHASE1,Xinqiao Hospital of Chongqing,OTHER,CD19 and CD22 targeted CAR-T cells,,1,China,False,2026-09-07
NCT04442022,ACTIVE_NOT_RECRUITING,2020-09-03,PHASE2|PHASE3,Karyopharm Therapeutics Inc,INDUSTRY,Selinexor (combination therapy)|Selinexor (combination therapy)|Selinexor (combination therapy)|Placebo matching for Selinexor (combination therapy)|Rituximab (combination therapy)|Rituximab (combination therapy)|Gemcitabine (combination therapy)|Dexamethasone (combination therapy)|Cisplatin (combination therapy)|Selinexor (continuous therapy)|Placebo matching for Selinexor (continuous therapy),||||||||||,38,China|Israel|Italy|Poland|Spain|United States,True,2026-09-07
NCT04513431,UNKNOWN,2020-08-30,EARLY_PHASE1,Ruijin Hospital,OTHER,Anti-CEA-CAR T,,0,,False,2026-09-07
NCT04532268,UNKNOWN,2020-08-23,EARLY_PHASE1,Zhejiang University,OTHER,Humanized CD19 CAR-T cells,Humanized CD19 CAR-T cells injection,1,China,False,2026-09-07
NCT04318379,UNKNOWN,2021-04-20,PHASE1,GeneCure Biotechnologies,INDUSTRY,HCVax,,1,United States,True,2026-09-07
NCT04506983,SUSPENDED,2022-06-10,PHASE1,Beijing Tsinghua Chang Gung Hospital,OTHER,GPC3-CAR-T cells,,1,China,False,2026-09-07
NCT04390542,WITHDRAWN,2021-06,NA,Case Comprehensive Cancer Center,OTHER,Psychoeducation,,0,,False,2026-09-07
NCT04417764,UNKNOWN,2019-06-20,PHASE1,Central South University,OTHER,Transcatheter arterial chemoembolization|PD-1 knockout engineered T cells,|,1,China,False,2026-09-07
NCT04311307,COMPLETED,2021-01-19,PHASE1|PHASE2,University Medical Center Groningen,OTHER,"[6,6-2H2]glucose",,1,Netherlands,True,2026-09-07
NCT04296461,UNKNOWN,2020-07-27,PHASE1,UWELL Biopharma,INDUSTRY,Welgenaleucel,UWC19,1,Taiwan,False,2026-09-07
NCT04316624,COMPLETED,2019-09-29,PHASE1,"Institute of Hematology & Blood Diseases Hospital, China",OTHER,C-CAR066,,1,China,False,2026-09-07
NCT04438083,TERMINATED,2020-06-16,PHASE1,CRISPR Therapeutics AG,INDUSTRY,CTX130,,7,Australia|Canada|Netherlands|United States,True,2026-09-07
NCT04443829,ACTIVE_NOT_RECRUITING,2021-03-23,PHASE1,"University College, London",OTHER,CD19CAR T-cells,,1,United Kingdom,True,2026-09-07
NCT04325841,COMPLETED,2022-03-24,PHASE2,Beijing Boren Hospital,OTHER,Murine autologous anti-CD19 chimeric antigen receptor T cells,,1,China,False,2026-09-07
NCT04410900,COMPLETED,2020-08-03,PHASE1,Fred Hutchinson Cancer Center,OTHER,Wistar Rabies Virus Strain PM-1503-3M Vaccine|Biospecimen Collection,Imovax Rabies|Biological Sample Collection;Biospecimen Collected,1,United States,True,2026-09-07
NCT04447547,UNKNOWN,2020-06-30,NA,"Hebei Senlang Biotechnology Inc., Ltd.",INDUSTRY,CD19 CAR-T,,2,China,False,2026-09-07
NCT04337606,UNKNOWN,2020-04-04,PHASE1|PHASE2,Chinese PLA General Hospital,OTHER,Chidamide|Decitabine|Camrelizumab,||,1,China,False,2026-09-07
NCT04394286,TERMINATED,2020-05-13,PHASE1|PHASE2,Baxalta now part of Shire,INDUSTRY,SHP648,TAK748;AAV8.ss-3xCRM8-TTR-FIX_R338Lopt,2,Spain|Turkey (Türkiye),True,2026-09-07
NCT04514029,ACTIVE_NOT_RECRUITING,2020-08-06,EARLY_PHASE1,"Masonic Cancer Center, University of Minnesota",OTHER,Simvastatin|Dexamethasone,|,1,United States,True,2026-09-07
NCT04381741,UNKNOWN,2020-06-18,PHASE1,"Second Affiliated Hospital, Zhejiang University, School of Medicine",OTHER,CD19-7×19 CAR-T plus PD1 monoclonal antibody,,1,China,False,2026-09-07
NCT04286815,UNKNOWN,2020-05-01,NA,Children's Hospital of Chongqing Medical University,OTHER,Lentiviral Vector Gene Therapy,,1,China,False,2026-09-07
NCT04526834,ACTIVE_NOT_RECRUITING,2021-09-08,PHASE1,Tessa Therapeutics,INDUSTRY,CD30.CAR-T,CD30-directed genetically modified autologous T cells,4,United States,True,2026-09-07
NCT04287660,UNKNOWN,2017-10-19,PHASE3,The First Affiliated Hospital of Soochow University,OTHER,"clarithromycin, lenalidomide, dexamethasone and autologous BCMA-directed CAR T-cells",,1,China,False,2026-09-07
NCT04348643,WITHDRAWN,2020-02-20,PHASE1|PHASE2,"Chongqing Precision Biotech Co., Ltd",INDUSTRY,CEA CAR-T cells,,2,China,False,2026-09-07
NCT04480567,ACTIVE_NOT_RECRUITING,2020-09-24,PHASE1|PHASE2,BioMarin Pharmaceutical,INDUSTRY,BMN 307,,3,United Kingdom|United States,True,2026-09-07
NCT04443907,TERMINATED,2020-08-25,PHASE1,Novartis Pharmaceuticals,INDUSTRY,OTQ923|OTQ923,Adult Part A|Children 2-17 years old - Part B,3,United States,True,2026-09-07
NCT04318678,RECRUITING,2020-07-29,PHASE1,St. Jude Children's Research Hospital,OTHER,CD123-CAR T|Cyclophosphamide|Fludarabine|Mesna|Rituximab,CD123-CAR T cells|Cytoxan|Fludara||Rituxan,2,United States,True,2026-09-07
NCT04503538,WITHDRAWN,2020-12,NA,Wake Forest University Health Sciences,OTHER,Telemedicine visit,,0,,False,2026-09-07
NCT04473937,TERMINATED,2021-01-05,NA,Massachusetts General Hospital,OTHER,Radiotherapy,,1,United States,True,2026-09-07
NCT04511871,ACTIVE_NOT_RECRUITING,2020-07-09,PHASE1,"Shanghai PerHum Therapeutics Co., Ltd.",INDUSTRY,CCT303-406,,1,China,False,2026-09-07
NCT04295018,UNKNOWN,2019-10-23,PHASE1,Peking Union Medical College Hospital,OTHER,C-CAR088,,1,China,False,2026-09-07
NCT04626752,UNKNOWN,2020-04-01,EARLY_PHASE1,"Hebei Senlang Biotechnology Inc., Ltd.",INDUSTRY,BCMA CAR-T|Fludarabine|Cyclophosphamide,senl_BCMA|flu|ctx,1,China,False,2026-09-07
NCT04627740,COMPLETED,2020-12-01,PHASE1|PHASE2,Xinqiao Hospital of Chongqing,OTHER,Retroviral vector-transduced autologous T cells to express anti-ALPP CARs,,1,China,False,2026-09-07
NCT04649983,UNKNOWN,2019-09-01,PHASE1|PHASE2,"Chongqing Precision Biotech Co., Ltd",INDUSTRY,CD19 and CD22 targeted CAR-T cells,,1,China,False,2026-09-07
NCT04676048,RECRUITING,2022-08-03,PHASE1|PHASE2,ASC Therapeutics,INDUSTRY,ASC618,,1,United States,True,2026-09-07
NCT04665076,UNKNOWN,2020-10-22,NA,"Hebei Senlang Biotechnology Inc., Ltd.",INDUSTRY,"Auto CAR-T|Cyclophosphamide,Fludarabine|Leukapheresis",||,1,China,False,2026-09-07
