scenario,class,region,year,patients_p10,patients_p50,patients_p90
capacity-constrained,CAR-T,worldwide,2033,17160,29418,47112
capacity-constrained,CAR-T,worldwide,2034,17381,32698,53063
capacity-constrained,CAR-T,worldwide,2035,17605,35765,58868
capacity-constrained,CAR-T,worldwide,2036,17832,38114,64184
capacity-constrained,AAV,US,2027,783,931,1129
capacity-constrained,AAV,US,2028,467,685,1079
capacity-constrained,AAV,US,2029,588,954,1648
capacity-constrained,AAV,US,2030,754,1305,2245
capacity-constrained,AAV,US,2031,904,1530,2555
capacity-constrained,AAV,US,2032,971,1611,2632
capacity-constrained,AAV,US,2033,967,1610,2588
capacity-constrained,AAV,US,2034,951,1574,2533
capacity-constrained,AAV,US,2035,922,1538,2441
capacity-constrained,AAV,US,2036,896,1512,2381
capacity-constrained,AAV,Europe,2027,476,656,876
capacity-constrained,AAV,Europe,2028,259,397,613
capacity-constrained,AAV,Europe,2029,318,522,909
capacity-constrained,AAV,Europe,2030,400,712,1270
capacity-constrained,AAV,Europe,2031,493,897,1580
capacity-constrained,AAV,Europe,2032,562,1009,1714
capacity-constrained,AAV,Europe,2033,582,1030,1745
capacity-constrained,AAV,Europe,2034,587,1016,1721
capacity-constrained,AAV,Europe,2035,572,994,1672
capacity-constrained,AAV,Europe,2036,552,972,1626
capacity-constrained,AAV,rest of world,2027,84,112,184
capacity-constrained,AAV,rest of world,2028,45,68,114
capacity-constrained,AAV,rest of world,2029,56,91,171
capacity-constrained,AAV,rest of world,2030,70,125,239
capacity-constrained,AAV,rest of world,2031,86,158,294
capacity-constrained,AAV,rest of world,2032,98,177,321
capacity-constrained,AAV,rest of world,2033,101,181,323
capacity-constrained,AAV,rest of world,2034,100,179,325
capacity-constrained,AAV,rest of world,2035,99,174,315
capacity-constrained,AAV,rest of world,2036,98,172,304
capacity-constrained,AAV,worldwide,2027,1463,1681,1990
capacity-constrained,AAV,worldwide,2028,845,1161,1729
capacity-constrained,AAV,worldwide,2029,1038,1588,2628
capacity-constrained,AAV,worldwide,2030,1306,2164,3628
capacity-constrained,AAV,worldwide,2031,1586,2623,4296
capacity-constrained,AAV,worldwide,2032,1749,2840,4516
capacity-constrained,AAV,worldwide,2033,1756,2858,4493
capacity-constrained,AAV,worldwide,2034,1735,2806,4432
capacity-constrained,AAV,worldwide,2035,1688,2760,4298
capacity-constrained,AAV,worldwide,2036,1644,2686,4184
capacity-constrained,lentiviral ex vivo,US,2027,68,81,190
capacity-constrained,lentiviral ex vivo,US,2028,29,64,390
capacity-constrained,lentiviral ex vivo,US,2029,14,109,655
capacity-constrained,lentiviral ex vivo,US,2030,10,176,959
capacity-constrained,lentiviral ex vivo,US,2031,16,238,1118
capacity-constrained,lentiviral ex vivo,US,2032,19,272,1156
capacity-constrained,lentiviral ex vivo,US,2033,22,269,1143
capacity-constrained,lentiviral ex vivo,US,2034,22,264,1107
capacity-constrained,lentiviral ex vivo,US,2035,20,259,1046
capacity-constrained,lentiviral ex vivo,US,2036,21,249,1050
capacity-constrained,lentiviral ex vivo,Europe,2027,43,59,83
capacity-constrained,lentiviral ex vivo,Europe,2028,17,30,169
capacity-constrained,lentiviral ex vivo,Europe,2029,8,37,304
capacity-constrained,lentiviral ex vivo,Europe,2030,3,67,495
capacity-constrained,lentiviral ex vivo,Europe,2031,2,104,666
capacity-constrained,lentiviral ex vivo,Europe,2032,3,134,737
capacity-constrained,lentiviral ex vivo,Europe,2033,4,142,752
capacity-constrained,lentiviral ex vivo,Europe,2034,5,143,727
capacity-constrained,lentiviral ex vivo,Europe,2035,5,145,681
capacity-constrained,lentiviral ex vivo,Europe,2036,5,136,665
capacity-constrained,lentiviral ex vivo,rest of world,2027,7,10,17
capacity-constrained,lentiviral ex vivo,rest of world,2028,3,5,29
capacity-constrained,lentiviral ex vivo,rest of world,2029,1,7,56
capacity-constrained,lentiviral ex vivo,rest of world,2030,1,12,91
capacity-constrained,lentiviral ex vivo,rest of world,2031,0,19,119
capacity-constrained,lentiviral ex vivo,rest of world,2032,1,24,130
capacity-constrained,lentiviral ex vivo,rest of world,2033,1,26,133
capacity-constrained,lentiviral ex vivo,rest of world,2034,1,25,134
capacity-constrained,lentiviral ex vivo,rest of world,2035,1,25,128
capacity-constrained,lentiviral ex vivo,rest of world,2036,1,25,121
capacity-constrained,lentiviral ex vivo,worldwide,2027,127,161,288
capacity-constrained,lentiviral ex vivo,worldwide,2028,51,103,575
capacity-constrained,lentiviral ex vivo,worldwide,2029,26,170,982
capacity-constrained,lentiviral ex vivo,worldwide,2030,16,277,1522
capacity-constrained,lentiviral ex vivo,worldwide,2031,26,390,1881
capacity-constrained,lentiviral ex vivo,worldwide,2032,33,458,1963
capacity-constrained,lentiviral ex vivo,worldwide,2033,37,470,2009
capacity-constrained,lentiviral ex vivo,worldwide,2034,40,457,1918
capacity-constrained,lentiviral ex vivo,worldwide,2035,40,455,1819
capacity-constrained,lentiviral ex vivo,worldwide,2036,38,437,1791
capacity-constrained,CRISPR ex vivo,US,2027,460,534,645
capacity-constrained,CRISPR ex vivo,US,2028,205,248,742
capacity-constrained,CRISPR ex vivo,US,2029,57,133,978
capacity-constrained,CRISPR ex vivo,US,2030,11,167,1393
capacity-constrained,CRISPR ex vivo,US,2031,5,233,1782
capacity-constrained,CRISPR ex vivo,US,2032,9,292,1871
capacity-constrained,CRISPR ex vivo,US,2033,13,326,1968
capacity-constrained,CRISPR ex vivo,US,2034,16,345,1992
capacity-constrained,CRISPR ex vivo,US,2035,15,350,1958
capacity-constrained,CRISPR ex vivo,US,2036,13,361,1935
capacity-constrained,CRISPR ex vivo,Europe,2027,291,401,534
capacity-constrained,CRISPR ex vivo,Europe,2028,128,178,338
capacity-constrained,CRISPR ex vivo,Europe,2029,33,59,443
capacity-constrained,CRISPR ex vivo,Europe,2030,7,54,683
capacity-constrained,CRISPR ex vivo,Europe,2031,1,91,920
capacity-constrained,CRISPR ex vivo,Europe,2032,0,126,1112
capacity-constrained,CRISPR ex vivo,Europe,2033,2,158,1185
capacity-constrained,CRISPR ex vivo,Europe,2034,2,173,1239
capacity-constrained,CRISPR ex vivo,Europe,2035,2,177,1274
capacity-constrained,CRISPR ex vivo,Europe,2036,3,185,1274
capacity-constrained,CRISPR ex vivo,rest of world,2027,51,68,113
capacity-constrained,CRISPR ex vivo,rest of world,2028,22,32,62
capacity-constrained,CRISPR ex vivo,rest of world,2029,6,11,80
capacity-constrained,CRISPR ex vivo,rest of world,2030,1,10,122
capacity-constrained,CRISPR ex vivo,rest of world,2031,0,16,168
capacity-constrained,CRISPR ex vivo,rest of world,2032,0,22,207
capacity-constrained,CRISPR ex vivo,rest of world,2033,0,28,217
capacity-constrained,CRISPR ex vivo,rest of world,2034,0,31,227
capacity-constrained,CRISPR ex vivo,rest of world,2035,0,32,233
capacity-constrained,CRISPR ex vivo,rest of world,2036,0,33,232
capacity-constrained,CRISPR ex vivo,worldwide,2027,859,963,1162
capacity-constrained,CRISPR ex vivo,worldwide,2028,386,490,1159
capacity-constrained,CRISPR ex vivo,worldwide,2029,101,217,1488
capacity-constrained,CRISPR ex vivo,worldwide,2030,22,266,2147
capacity-constrained,CRISPR ex vivo,worldwide,2031,8,386,2806
capacity-constrained,CRISPR ex vivo,worldwide,2032,16,482,3098
capacity-constrained,CRISPR ex vivo,worldwide,2033,25,556,3261
capacity-constrained,CRISPR ex vivo,worldwide,2034,29,594,3396
capacity-constrained,CRISPR ex vivo,worldwide,2035,31,606,3386
capacity-constrained,CRISPR ex vivo,worldwide,2036,27,619,3391
capacity-constrained,in vivo editing and LNP,US,2027,0,0,24
capacity-constrained,in vivo editing and LNP,US,2028,0,0,225
capacity-constrained,in vivo editing and LNP,US,2029,0,6,548
capacity-constrained,in vivo editing and LNP,US,2030,0,46,944
capacity-constrained,in vivo editing and LNP,US,2031,0,103,1314
capacity-constrained,in vivo editing and LNP,US,2032,0,171,1608
capacity-constrained,in vivo editing and LNP,US,2033,3,238,1840
capacity-constrained,in vivo editing and LNP,US,2034,6,297,1993
capacity-constrained,in vivo editing and LNP,US,2035,9,338,2086
capacity-constrained,in vivo editing and LNP,US,2036,12,373,2131
capacity-constrained,in vivo editing and LNP,Europe,2027,0,0,0
capacity-constrained,in vivo editing and LNP,Europe,2028,0,0,45
capacity-constrained,in vivo editing and LNP,Europe,2029,0,0,205
capacity-constrained,in vivo editing and LNP,Europe,2030,0,6,416
capacity-constrained,in vivo editing and LNP,Europe,2031,0,29,698
capacity-constrained,in vivo editing and LNP,Europe,2032,0,62,929
capacity-constrained,in vivo editing and LNP,Europe,2033,0,99,1114
capacity-constrained,in vivo editing and LNP,Europe,2034,0,132,1256
capacity-constrained,in vivo editing and LNP,Europe,2035,1,164,1304
capacity-constrained,in vivo editing and LNP,Europe,2036,2,183,1373
capacity-constrained,in vivo editing and LNP,rest of world,2027,0,0,0
capacity-constrained,in vivo editing and LNP,rest of world,2028,0,0,8
capacity-constrained,in vivo editing and LNP,rest of world,2029,0,0,34
capacity-constrained,in vivo editing and LNP,rest of world,2030,0,1,72
capacity-constrained,in vivo editing and LNP,rest of world,2031,0,5,123
capacity-constrained,in vivo editing and LNP,rest of world,2032,0,11,165
capacity-constrained,in vivo editing and LNP,rest of world,2033,0,17,196
capacity-constrained,in vivo editing and LNP,rest of world,2034,0,24,220
capacity-constrained,in vivo editing and LNP,rest of world,2035,0,29,242
capacity-constrained,in vivo editing and LNP,rest of world,2036,0,32,250
capacity-constrained,in vivo editing and LNP,worldwide,2027,0,0,28
capacity-constrained,in vivo editing and LNP,worldwide,2028,0,0,310
capacity-constrained,in vivo editing and LNP,worldwide,2029,0,8,805
capacity-constrained,in vivo editing and LNP,worldwide,2030,0,66,1486
capacity-constrained,in vivo editing and LNP,worldwide,2031,0,163,2139
capacity-constrained,in vivo editing and LNP,worldwide,2032,0,278,2695
capacity-constrained,in vivo editing and LNP,worldwide,2033,5,392,3097
capacity-constrained,in vivo editing and LNP,worldwide,2034,12,506,3449
capacity-constrained,in vivo editing and LNP,worldwide,2035,17,566,3608
capacity-constrained,in vivo editing and LNP,worldwide,2036,21,637,3762
capacity-constrained,all classes,US,2027,5711,6725,8001
capacity-constrained,all classes,US,2028,5535,7202,8758
capacity-constrained,all classes,US,2029,6038,8501,10566
capacity-constrained,all classes,US,2030,6817,10187,12926
capacity-constrained,all classes,US,2031,7658,11852,14925
capacity-constrained,all classes,US,2032,8178,13295,16895
capacity-constrained,all classes,US,2033,8542,14616,18808
capacity-constrained,all classes,US,2034,8847,15697,21034
capacity-constrained,all classes,US,2035,9150,16599,23338
capacity-constrained,all classes,US,2036,9277,17487,25861
capacity-constrained,all classes,Europe,2027,6176,7739,9734
capacity-constrained,all classes,Europe,2028,6001,8181,11117
capacity-constrained,all classes,Europe,2029,6467,9356,14053
capacity-constrained,all classes,Europe,2030,7349,11142,17756
capacity-constrained,all classes,Europe,2031,8304,13150,21095
capacity-constrained,all classes,Europe,2032,9265,14707,24221
capacity-constrained,all classes,Europe,2033,9819,16155,27396
capacity-constrained,all classes,Europe,2034,10282,17573,30112
capacity-constrained,all classes,Europe,2035,10606,18945,32436
capacity-constrained,all classes,Europe,2036,10940,20158,34561
capacity-constrained,all classes,rest of world,2027,1558,2314,3431
capacity-constrained,all classes,rest of world,2028,1620,2501,3757
capacity-constrained,all classes,rest of world,2029,1797,2841,4606
capacity-constrained,all classes,rest of world,2030,2028,3330,5657
capacity-constrained,all classes,rest of world,2031,2296,3712,6799
capacity-constrained,all classes,rest of world,2032,2565,4063,7934
capacity-constrained,all classes,rest of world,2033,2805,4422,9075
capacity-constrained,all classes,rest of world,2034,3000,4777,10222
capacity-constrained,all classes,rest of world,2035,3168,5117,11281
capacity-constrained,all classes,rest of world,2036,3322,5431,12249
capacity-constrained,all classes,worldwide,2027,14562,17010,19662
capacity-constrained,all classes,worldwide,2028,14407,17848,22208
capacity-constrained,all classes,worldwide,2029,15854,20559,28039
capacity-constrained,all classes,worldwide,2030,17883,24687,34731
capacity-constrained,all classes,worldwide,2031,19831,28709,41336
capacity-constrained,all classes,worldwide,2032,21212,32350,47383
capacity-constrained,all classes,worldwide,2033,22128,35759,53542
capacity-constrained,all classes,worldwide,2034,23051,39092,59429
capacity-constrained,all classes,worldwide,2035,23764,42127,65538
capacity-constrained,all classes,worldwide,2036,24122,44225,70626
