cls,sponsor,construct_key,n_trials,ncts,first_start,phase3_start,highest_phase_ever,phase_active_2026,phase_by_2019,first_start_by_2019,phase3_start_by_2019,has_us_or_eu_site,approved_product,approval_date
CAR-T,Cabaletta Bio,caba-201,5,NCT04422912|NCT06121297|NCT06328777|NCT06359041|NCT07006805,2020.71,2024.54,3,3.0,,,,True,,
CAR-T,Cabaletta Bio,unnamed,2,NCT05451212|NCT06154252,2022.88,2023.96,3,3.0,,,,True,,
CAR-T,Carbiogene Therapeutics Co. Ltd.,cbg002,1,NCT06705725,2024.96,,1,1.0,,,,False,,
CAR-T,Carbiogene Therapeutics Co. Ltd.,unnamed,1,NCT04803929,2021.21,,1,,,,,False,,
CAR-T,Carina Biotech Limited,cna3103,1,NCT05759728,2023.79,,2,2.0,,,,False,,
CAR-T,Carisma Therapeutics Inc,ct-0508,1,NCT04660929,2021.12,,1,,,,,True,,
CAR-T,Cartesian Therapeutics,unnamed,7,NCT03448978|NCT03994705|NCT04146051|NCT06038474|NCT06304636|NCT06799247|NCT07391605,2018.21,2025.38,3,3.0,2.0,2018.21,,True,,
CAR-T,"Celest Therapeutics (Shanghai) Co., Ltd.",suv2208a,1,NCT07680257,2025.96,,1,1.0,,,,False,,
CAR-T,Celgene,approved:abecma,4,NCT02658929|NCT03361748|NCT04855136|NCT06045806,2015.96,2023.79,3,3.0,2.0,2015.96,,True,abecma,2021-03-26
CAR-T,Celgene,approved:breyanzi,2,NCT03310619|NCT03743246,2017.96,,2,,2.0,2017.96,,True,breyanzi,2021-02-05
CAR-T,Celgene,unnamed,1,NCT03435796,2018.54,2018.54,3,3.0,3.0,2018.54,2018.54,True,,
CAR-T,CellabMED,yyb-103,1,NCT05540873,2022.54,,1,,,,,False,,
CAR-T,Cellectis S.A.,clls52,1,NCT05607420,2022.88,,2,2.0,,,,True,,
CAR-T,Cellectis S.A.,ucart123,2,NCT03203369|NCT04106076,2017.46,,1,,1.0,2017.46,,True,,
CAR-T,Cellectis S.A.,ucart22,1,NCT04150497,2019.79,,2,2.0,2.0,2019.79,,True,,
CAR-T,Cellectis S.A.,unnamed,2,NCT03190278|NCT04142619,2017.46,,1,1.0,1.0,2017.46,,True,,
CAR-T,Celyad Oncology SA,cyad-101,1,NCT03692429,2018.88,,1,1.0,1.0,2018.88,,True,,
CAR-T,Celyad Oncology SA,cyad-211,1,NCT04613557,2020.88,,1,1.0,,,,True,,
CAR-T,Celyad Oncology SA,target:nkg2d,2,NCT03310008|NCT03370198,2017.62,,1,,1.0,2017.62,,True,,
CAR-T,Celyad Oncology SA,unnamed,2,NCT02203825|NCT03612739,2015.21,,1,,1.0,2015.21,,True,,
CAR-T,Chembrain LTD,target:cd3+egfrviii,1,NCT05063682,2020.38,,1,,,,,True,,
CAR-T,"Chengdu Ucello Biotechnology Co., Ltd.",claudin18,1,NCT07266311,2025.96,,1,1.0,,,,False,,
CAR-T,"Chengdu Ucello Biotechnology Co., Ltd.",target:bcma+cd19,2,NCT07266337|NCT07274059,2025.21,,1,1.0,,,,False,,
CAR-T,Chimeric Therapeutics,chm-1101,1,NCT05627323,2023.46,,1,,,,,True,,
CAR-T,Chimeric Therapeutics,chm-2101,1,NCT06055439,2024.38,,2,2.0,,,,True,,
CAR-T,"Chongqing Precision Biotech Co., Ltd",mc-1-50,3,NCT06180174|NCT06641024|NCT06892145,2023.96,,1,1.0,,,,False,,
CAR-T,"Chongqing Precision Biotech Co., Ltd",pcar-19b,3,NCT04888442|NCT04888468|NCT05334823,2019.88,,2,,1.0,2019.88,,False,,
CAR-T,"Chongqing Precision Biotech Co., Ltd",target:bcma,3,NCT04271644|NCT04272151|NCT04776330,2019.29,,2,2.0,2.0,2019.29,,False,,
CAR-T,"Chongqing Precision Biotech Co., Ltd",target:bcma+cd70,2,NCT07184450|NCT07318259,2025.71,,1,1.0,,,,False,,
CAR-T,"Chongqing Precision Biotech Co., Ltd",target:cd123,2,NCT04265963|NCT04272125,2019.71,,2,,2.0,2019.71,,False,,
CAR-T,"Chongqing Precision Biotech Co., Ltd",target:cd19,6,NCT04271410|NCT04271800|NCT06056921|NCT06569472|NCT06686524|NCT07331467,2019.46,,2,1.0,2.0,2019.46,,False,,
CAR-T,"Chongqing Precision Biotech Co., Ltd",target:cd19+cd22,4,NCT04648475|NCT04649983|NCT04781634|NCT04782193,2019.71,,2,2.0,2.0,2019.71,,False,,
CAR-T,"Chongqing Precision Biotech Co., Ltd",target:cd70,6,NCT05420519|NCT05420545|NCT05468190|NCT06010875|NCT06215950|NCT07181720,2021.96,,1,1.0,,,,False,,
CAR-T,"Chongqing Precision Biotech Co., Ltd",target:cea,12,NCT04348643|NCT05415475|NCT05538195|NCT06006390|NCT06010862|NCT06043466|NCT06126406|NCT06768151|NCT06903117|NCT06945523|NCT06992583|NCT07179692,2020.12,,2,1.0,,,,False,,
CAR-T,"Chongqing Precision Biotech Co., Ltd",unnamed,6,NCT04861480|NCT05420493|NCT07239323|NCT07403097|NCT07456371|NCT07715630,2021.46,,1,1.0,,,,False,,
CAR-T,"Circunited BioPharma (Shenzhen) Co., Ltd.",arnovie101,1,NCT07629596,2026.29,,1,1.0,,,,False,,
CAR-T,Curocell Inc.,crc01,2,NCT04836507|NCT07364396,2021.21,,2,2.0,,,,False,,
CAR-T,"CytoAgents, Inc.",cto1681,1,NCT05905328,2023.96,,2,2.0,,,,True,,
CAR-T,CytoCares Inc,cc312,1,NCT06888960,2024.88,,1,1.0,,,,False,,
CAR-T,CytoMed Therapeutics Pte Ltd,unnamed,2,NCT04107142|NCT05302037,2019.96,,1,1.0,1.0,2019.96,,False,,
CAR-T,Dispatch Biotherapeutics,disp-10,1,NCT07544589,2026.29,,1,1.0,,,,True,,
CAR-T,Eden BioCell Ltd.,mbil15,1,NCT04844086,2021.21,,1,,,,,False,,
CAR-T,EdiGene Inc.,et-901,1,NCT06373991,2024.54,,1,1.0,,,,False,,
CAR-T,Eutilex,eu307,1,NCT05783570,2023.62,,1,,,,,False,,
CAR-T,FamiCordTx,cl19,1,NCT06593145,2023.38,,1,1.0,,,,True,,
CAR-T,Fate Therapeutics,ft576,1,NCT05182073,2021.88,,1,,,,,True,,
CAR-T,Fate Therapeutics,ft819,3,NCT04629729|NCT06308978|NCT07570862,2021.54,,2,2.0,,,,True,,
CAR-T,Fate Therapeutics,ft825,1,NCT06241456,2024.04,,1,1.0,,,,True,,
CAR-T,Fate Therapeutics,ft839,1,NCT07800871,2026.79,,2,2.0,,,,True,,
CAR-T,"Fundamenta Therapeutics, Ltd.",approved:kymriah,2,NCT04384393|NCT05106907,2020.38,,1,,,,,False,kymriah,2017-08-30
CAR-T,"Fundamenta Therapeutics, Ltd.",unnamed,3,NCT04601181|NCT05106946|NCT05127135,2020.04,,1,,,,,False,,
CAR-T,"Fundamenta Therapeutics, Ltd.",vp-16,1,NCT05576181,2022.79,,1,,,,,False,,
CAR-T,"Genentech, Inc.",unnamed,1,NCT06984341,2026.46,,1,,,,,True,,
CAR-T,"GenomeFrontier Therapeutics TW Co., Ltd.",cart01,1,NCT06703892,2025.46,,1,1.0,,,,False,,
CAR-T,"Gracell Biotechnologies (Shanghai) Co., Ltd.",gc012f,2,NCT06235229|NCT07250269,2023.96,,2,2.0,,,,False,,
CAR-T,"Guangzhou Bio-gene Technology Co., Ltd",bg1805,2,NCT06118788|NCT06347458,2024.21,,2,2.0,,,,False,,
CAR-T,"Guangzhou Bio-gene Technology Co., Ltd",target:bcma+gprc5d,1,NCT07196124,2025.79,,1,,,,,False,,
CAR-T,"Guangzhou Bio-gene Technology Co., Ltd",target:cd7,1,NCT05909527,2023.38,,2,,,,,False,,
CAR-T,"Guangzhou Bio-gene Technology Co., Ltd",unnamed,1,NCT07196111,2025.79,,1,,,,,False,,
CAR-T,"Guangzhou FineImmune Biotechnology Co., LTD.",unnamed,1,NCT07493044,2026.21,,1,1.0,,,,False,,
CAR-T,Gyala Therapeutics,cart84,1,NCT07471789,2026.12,,2,2.0,,,,True,,
CAR-T,"Hangzhou Qihan Biotech Co., Ltd.",qt-019b,1,NCT07444307,2025.96,,1,1.0,,,,False,,
CAR-T,"Hebei Senlang Biotechnology Inc., Ltd.",cd-19,1,NCT04626765,2020.29,,1,,,,,False,,
CAR-T,"Hebei Senlang Biotechnology Inc., Ltd.",s1904,1,NCT07244406,2025.04,,2,2.0,,,,False,,
CAR-T,"Hebei Senlang Biotechnology Inc., Ltd.",sl19,1,NCT05225831,2021.62,,1,,,,,False,,
CAR-T,"Hebei Senlang Biotechnology Inc., Ltd.",target:bcma,2,NCT04626752|NCT07421856,2020.29,,2,2.0,,,,False,,
CAR-T,"Hebei Senlang Biotechnology Inc., Ltd.",target:bcma+cd19,1,NCT07435779,2026.12,,1,1.0,,,,False,,
CAR-T,"Hebei Senlang Biotechnology Inc., Ltd.",target:cd123,1,NCT03796390,2018.96,,1,,1.0,2018.96,,False,,
CAR-T,"Hebei Senlang Biotechnology Inc., Ltd.",target:cd19,3,NCT02963038|NCT03840317|NCT07161193,2016.46,,2,2.0,2.0,2016.46,,False,,
CAR-T,"Hebei Senlang Biotechnology Inc., Ltd.",target:cd19+cd20+cd22,1,NCT05388695,2022.29,,1,1.0,,,,False,,
CAR-T,"Hebei Senlang Biotechnology Inc., Ltd.",target:cd19+cd22,2,NCT04626726|NCT04626739,2020.29,,1,,,,,False,,
CAR-T,"Hebei Senlang Biotechnology Inc., Ltd.",target:cd22,1,NCT04556669,2020.62,,1,,,,,False,,
CAR-T,"Hebei Senlang Biotechnology Inc., Ltd.",target:cd7,2,NCT04572308|NCT07244380,2020.79,,2,2.0,,,,False,,
CAR-T,"Hebei Senlang Biotechnology Inc., Ltd.",unnamed,3,NCT03121625|NCT03312205|NCT06136364,2016.96,,2,1.0,2.0,2016.96,,False,,
CAR-T,Hemogenyx Pharmaceuticals LLC,unnamed,1,NCT06786533,2025.04,,1,1.0,,,,True,,
CAR-T,Hoffmann-La Roche,unnamed,1,NCT05364424,2022.88,,1,,,,,True,,
CAR-T,"Hrain Biotechnology Co., Ltd.",ci135,1,NCT06760260,2022.04,,1,1.0,,,,False,,
CAR-T,"Hrain Biotechnology Co., Ltd.",target:bcma,4,NCT03943472|NCT04003168|NCT05302648|NCT05594797,2019.54,,2,2.0,1.0,2019.54,,False,,
CAR-T,"Hrain Biotechnology Co., Ltd.",target:bcma+cd19,1,NCT03879382,2019.12,,1,,1.0,2019.12,,False,,
CAR-T,"Hrain Biotechnology Co., Ltd.",target:cd19,4,NCT03720457|NCT03798509|NCT05436223|NCT05651191,2018.88,,2,,1.0,2018.88,,False,,
CAR-T,"Hrain Biotechnology Co., Ltd.",target:cd19+cd22,2,NCT05223686|NCT05651178,2022.12,,1,1.0,,,,False,,
CAR-T,"Hrain Biotechnology Co., Ltd.",target:cd70,1,NCT07647744,2026.46,,1,1.0,,,,False,,
CAR-T,"Immune Cell, Inc.",icar19,1,NCT03383952,2017.21,,1,,1.0,2017.21,,False,,
CAR-T,"Immune Cell, Inc.",icar30,1,NCT03383965,2017.21,,1,,1.0,2017.21,,False,,
CAR-T,"ImmunoVaccine Technologies, Inc. (IMV Inc.)",mk-3475,1,NCT04920617,2021.46,,2,2.0,,,,True,,
CAR-T,Imugene Limited,pbcar0191,1,NCT03666000,2019.21,,1,1.0,1.0,2019.21,,True,,
CAR-T,Imviva Bio,cta313,1,NCT07783269,2026.96,,1,1.0,,,,False,,
CAR-T,Imviva Bio,ctd402,1,NCT07070219,2025.79,,2,2.0,,,,True,,
CAR-T,Incyte Corporation,approved:yescarta,1,NCT04071366,2020.12,,2,,,,,True,yescarta,2017-10-18
CAR-T,"Janssen Research & Development, LLC",approved:carvykti,4,NCT03548207|NCT04133636|NCT04181827|NCT04923893,2018.46,2020.46,3,3.0,2.0,2018.46,,True,carvykti,2022-02-28
CAR-T,"Janssen Research & Development, LLC",unnamed,2,NCT05022849|NCT05421663,2021.71,,2,2.0,,,,True,,
CAR-T,Jazz Pharmaceuticals,unnamed,1,NCT03954106,2019.79,,2,,2.0,2019.79,,True,,
CAR-T,"Jiangsu Topcel-KH Pharmaceutical Co., Ltd.",target:cd19,1,NCT07368270,2026.04,,1,1.0,,,,False,,
CAR-T,"Jiangsu Topcel-KH Pharmaceutical Co., Ltd.",unnamed,1,NCT07369492,2026.04,,1,1.0,,,,False,,
CAR-T,"Juno Therapeutics, Inc., a Bristol-Myers Squibb Company",bms-986353,1,NCT07335562,2026.62,2026.62,3,3.0,,,,True,,
CAR-T,"Juno Therapeutics, Inc., a Bristol-Myers Squibb Company",bms-986393,2,NCT06121843|NCT06615479,2024.12,2025.21,3,3.0,,,,True,,
CAR-T,"Juno Therapeutics, Inc., a Bristol-Myers Squibb Company",bms-986453,1,NCT06153251,2024.04,,1,1.0,,,,True,,
CAR-T,"Juno Therapeutics, Inc., a Bristol-Myers Squibb Company",bms-986515,1,NCT07115745,2025.71,,1,1.0,,,,True,,
CAR-T,"Juno Therapeutics, Inc., a Bristol-Myers Squibb Company",cc-95266,1,NCT06297226,2024.21,,2,2.0,,,,True,,
CAR-T,"Juno Therapeutics, Inc., a Bristol-Myers Squibb Company",cc-97540,3,NCT05869955|NCT06220201|NCT07015983,2023.71,,2,2.0,,,,True,,
CAR-T,"Juno Therapeutics, a Subsidiary of Celgene",approved:breyanzi,3,NCT02631044|NCT03483103|NCT03744676,2016.04,,2,,2.0,2016.04,,True,breyanzi,2021-02-05
CAR-T,"Juno Therapeutics, a Subsidiary of Celgene",cc-97540,1,NCT04231747,2020.38,,1,,,,,True,,
CAR-T,"Juno Therapeutics, a Subsidiary of Celgene",cc-98633,1,NCT04394650,2020.62,,1,,,,,True,,
CAR-T,"Juno Therapeutics, a Subsidiary of Celgene",jcar015,1,NCT02535364,2015.62,,2,,2.0,2015.62,,True,,
CAR-T,"Juno Therapeutics, a Subsidiary of Celgene",jcarh125,1,NCT03430011,2018.12,,2,,2.0,2018.12,,True,,
CAR-T,Juventas Cell Therapy Ltd.,cnct19,3,NCT05667506|NCT06316791|NCT07275736,2021.96,,2,2.0,,,,False,,
CAR-T,Juventas Cell Therapy Ltd.,hy001n,1,NCT07265206,2025.96,,1,1.0,,,,False,,
CAR-T,Juventas Cell Therapy Ltd.,hy004,2,NCT06005649|NCT06009107,2025.46,,2,,,,,False,,
CAR-T,Juventas Cell Therapy Ltd.,unnamed,1,NCT07091370,2025.96,,1,1.0,,,,False,,
CAR-T,Karyopharm Therapeutics Inc,unnamed,1,NCT04442022,2020.71,2020.71,3,3.0,,,,True,,
CAR-T,Kecellitics Biotech Company Ltd,target:cd19,1,NCT04100187,2023.12,,1,,,,,False,,
CAR-T,Kecellitics Biotech Company Ltd,target:cd19+cd22,1,NCT05651100,2022.96,,2,,,,,False,,
CAR-T,Kecellitics Biotech Company Ltd,target:cd22,1,NCT04163575,2020.12,,2,,,,,False,,
CAR-T,"Kelonia Therapeutics, Inc.",kln-1010,1,NCT07075185,2025.54,,1,1.0,,,,True,,
CAR-T,"Kite, A Gilead Company",approved:tecartus,1,NCT04880434,2021.29,,2,,,,,True,tecartus,2020-07-24
CAR-T,"Kite, A Gilead Company",approved:yescarta,2,NCT02601313|NCT04314843,2015.88,,2,,2.0,2015.88,,True,yescarta,2017-10-18
CAR-T,"Kite, A Gilead Company",kite-585,1,NCT03318861,2017.79,,1,,1.0,2017.79,,True,,
CAR-T,"Kite, A Gilead Company",unnamed,3,NCT04025216|NCT05396885|NCT06413498,2019.79,2024.62,3,3.0,1.0,2019.79,,True,,
CAR-T,"Kure Cells, INC",unnamed,1,NCT07611149,2026.71,,1,1.0,,,,False,,
CAR-T,Kyverna Therapeutics,kyv-101,5,NCT05938725|NCT06193889|NCT06342960|NCT06384976|NCT06400303,2022.96,2024.62,3,3.0,,,,True,,
CAR-T,Kyverna Therapeutics,unnamed,1,NCT06588491,2024.71,,2,,,,,True,,
CAR-T,Lakefront Biotherapeutics NV,glpg5101,1,NCT06561425,2022.21,,2,,,,,True,,
CAR-T,Legend Biotech USA Inc,lb1901,1,NCT04712864,2021.71,,1,,,,,True,,
CAR-T,Legend Biotech USA Inc,lb1908,1,NCT05539430,2023.29,,1,1.0,,,,True,,
CAR-T,Legend Biotech USA Inc,lb2102,1,NCT05680922,2023.54,,1,1.0,,,,True,,
CAR-T,Leucid Bio,leu011,1,NCT06193902,2023.88,,2,2.0,,,,True,,
CAR-T,Luminary Therapeutics,lmy-920,2,NCT05312801|NCT06340750,2023.88,,1,1.0,,,,True,,
CAR-T,Luminary Therapeutics,lmy-922,2,NCT07679919|NCT07729995,2026.71,,1,1.0,,,,True,,
CAR-T,Luminary Therapeutics,unnamed,2,NCT05546723|NCT07771361,2024.21,,2,2.0,,,,True,,
CAR-T,"Lyell Immunopharma, Inc.",approved:yescarta,1,NCT07188558,2026.04,2026.04,3,3.0,,,,True,yescarta,2017-10-18
CAR-T,"Lyell Immunopharma, Inc.",impt-514,1,NCT06153095,2024.12,,2,,,,,True,,
CAR-T,"Lyell Immunopharma, Inc.",lyl273,1,NCT05319314,2022.62,,2,2.0,,,,True,,
CAR-T,"Lyell Immunopharma, Inc.",lyl797,1,NCT05274451,2022.21,,1,,,,,True,,
CAR-T,"Lyell Immunopharma, Inc.",unnamed,1,NCT05826535,2023.38,,2,2.0,,,,True,,
CAR-T,March Biosciences Inc,mb-105,1,NCT06534060,2025.12,,2,2.0,,,,True,,
CAR-T,Merck Sharp & Dohme LLC,mk-2140,1,NCT05458297,2022.54,,2,2.0,,,,True,,
CAR-T,Miltenyi Biomedicine GmbH,approved:kymriah,2,NCT03853616|NCT06189157,2018.88,,2,2.0,1.0,2018.88,,True,kymriah,2017-08-30
CAR-T,Miltenyi Biomedicine GmbH,cart20,2,NCT03664635|NCT03893019,2018.71,,2,,2.0,2018.71,,True,,
CAR-T,Miltenyi Biomedicine GmbH,cart2019,7,NCT03870945|NCT04792489|NCT04844866|NCT06508931|NCT07178431|NCT07288879|NCT07569965,2019.12,,2,2.0,1.0,2019.12,,True,,
CAR-T,Miltenyi Biomedicine GmbH,unnamed,1,NCT06708845,2026.54,,1,1.0,,,,True,,
CAR-T,"Moonlight Bio, Inc",ml261,1,NCT07488923,2026.46,,1,1.0,,,,True,,
CAR-T,Mustang Bio,mb-102,1,NCT04109482,2020.12,,2,,,,,True,,
CAR-T,Myeloid Therapeutics,crt-402,1,NCT07778446,2026.62,,2,2.0,,,,False,,
CAR-T,Myeloid Therapeutics,mt-101,1,NCT05138458,2021.96,,2,,,,,True,,
CAR-T,Myeloid Therapeutics,mt-303,1,NCT06478693,2024.54,,1,1.0,,,,False,,
CAR-T,"Nanjing Bioheng Biotech Co., Ltd.",rd06,4,NCT06549296|NCT06775912|NCT07203404|NCT07596680,2024.71,,1,1.0,,,,False,,
CAR-T,"Nanjing Bioheng Biotech Co., Ltd.",rd13,1,NCT07142161,2025.54,,1,1.0,,,,False,,
CAR-T,"Nanjing Bioheng Biotech Co., Ltd.",target:bcma+cd19,1,NCT06548607,2024.71,,1,1.0,,,,False,,
CAR-T,"Nanjing IASO Biotechnology Co., Ltd.",ct103a,1,NCT05698303,2023.38,,1,,,,,True,,
CAR-T,"Nanjing IASO Biotechnology Co., Ltd.",target:bcma,1,NCT07510100,2026.38,,2,2.0,,,,False,,
CAR-T,"Nanjing IASO Biotechnology Co., Ltd.",unnamed,2,NCT06464991|NCT07055724,2024.21,2024.21,3,3.0,,,,False,,
CAR-T,"Nanjing IASO Biotechnology Co., Ltd.",vv400,1,NCT06743503,2025.29,,1,1.0,,,,False,,
CAR-T,Nanjing Legend Biotech Co.,approved:carvykti,2,NCT03090659|NCT03758417,2015.79,,2,,2.0,2015.79,,False,carvykti,2022-02-28
CAR-T,Nanjing Legend Biotech Co.,g79,1,NCT07049081,2025.54,,1,,,,,False,,
CAR-T,Nanjing Legend Biotech Co.,g79d,1,NCT07331272,2026.04,,1,1.0,,,,False,,
CAR-T,Nanjing Legend Biotech Co.,unnamed,2,NCT06866080|NCT07095075,2025.46,,1,1.0,,,,False,,
CAR-T,Nektar Therapeutics,nktr-255,2,NCT04136756|NCT05664217,2019.79,2022.96,3,,1.0,2019.79,,True,,
CAR-T,NeoImmuneTech,approved:kymriah,1,NCT05075603,2021.54,,1,,,,,True,kymriah,2017-08-30
CAR-T,Nexcella Inc.,nxc-201,1,NCT06097832,2024.46,,2,2.0,,,,True,,
CAR-T,Ningbo Cancer Hospital,target:mesothelin,1,NCT03030001,2017.12,,2,,2.0,2017.12,,False,,
CAR-T,Ningbo Cancer Hospital,unnamed,1,NCT02873390,2016.62,,2,,2.0,2016.62,,False,,
CAR-T,"Nkarta, Inc.",nkx019,1,NCT05020678,2021.62,,1,1.0,,,,True,,
CAR-T,Novartis Pharmaceuticals,approved:kymriah,5,NCT02445248|NCT03568461|NCT03570892|NCT03628053|NCT05888493,2015.54,2019.38,3,3.0,3.0,2015.54,2019.38,True,kymriah,2017-08-30
CAR-T,Novartis Pharmaceuticals,dji136,1,NCT07564401,2026.46,,2,2.0,,,,True,,
CAR-T,Novartis Pharmaceuticals,imj995,1,NCT05168748,2023.04,,1,,,,,False,,
CAR-T,Novartis Pharmaceuticals,phe885,2,NCT04318327|NCT05172596,2020.54,,2,,,,,True,,
CAR-T,Novartis Pharmaceuticals,unnamed,4,NCT03960840|NCT06581198|NCT06868290|NCT07048197,2019.46,,2,2.0,2.0,2019.46,,True,,
CAR-T,Novartis Pharmaceuticals,ytb323,5,NCT05798117|NCT06617793|NCT06665256|NCT06675864|NCT06704269,2023.12,,2,2.0,,,,True,,
CAR-T,"Novatim Immune Therapeutics (Zhejiang) Co., Ltd.",kq-2003,2,NCT06223646|NCT06518876,2024.04,,2,1.0,,,,False,,
CAR-T,"O&D BioTech Group CO., Limited",d-001,1,NCT07369895,2025.79,,1,1.0,,,,False,,
CAR-T,"Oncternal Therapeutics, Inc",onct-808,1,NCT05588440,2023.38,,2,,,,,True,,
CAR-T,OneChain Immunotherapeutics,target:cd1a,1,NCT05679895,2023.04,,1,1.0,,,,True,,
CAR-T,"OriCell Therapeutics Co., Ltd.",c101,1,NCT05652920,2022.96,,2,2.0,,,,False,,
CAR-T,"OriCell Therapeutics Co., Ltd.",oricar-017,2,NCT06182696|NCT06271252,2023.79,,2,2.0,,,,True,,
CAR-T,"Outpace Bio, Inc.",opb-101,1,NCT07030907,2025.46,,1,1.0,,,,True,,
CAR-T,"Pell Bio-Med Technology Co., Ltd.",pl001,1,NCT05326243,2022.38,,2,2.0,,,,False,,
CAR-T,"PeproMene Bio, Inc.",unnamed,2,NCT04690595|NCT05370430,2021.38,,1,1.0,,,,True,,
CAR-T,"PersonGen BioTherapeutics (Suzhou) Co., Ltd.",hcd19,1,NCT04184414,2018.04,,1,,1.0,2018.04,,False,,
CAR-T,"PersonGen BioTherapeutics (Suzhou) Co., Ltd.",lv009,1,NCT07312630,2025.71,,1,1.0,,,,False,,
CAR-T,"PersonGen BioTherapeutics (Suzhou) Co., Ltd.",nk92,1,NCT02944162,2016.79,,2,,2.0,2016.79,,False,,
CAR-T,"PersonGen BioTherapeutics (Suzhou) Co., Ltd.",pa3-17,1,NCT05170568,2021.96,,1,,,,,False,,
CAR-T,"PersonGen BioTherapeutics (Suzhou) Co., Ltd.",pcar-019,2,NCT02819583|NCT02851589,2016.54,,2,,2.0,2016.54,,False,,
CAR-T,"PersonGen BioTherapeutics (Suzhou) Co., Ltd.",taa05,1,NCT05432401,2022.46,,1,,,,,False,,
CAR-T,"PersonGen BioTherapeutics (Suzhou) Co., Ltd.",taa06,2,NCT05190185|NCT05562024,2021.46,,1,1.0,,,,False,,
CAR-T,"PersonGen BioTherapeutics (Suzhou) Co., Ltd.",target:bcma,2,NCT04186052|NCT04650724,2018.79,,1,,1.0,2018.79,,False,,
CAR-T,"PersonGen BioTherapeutics (Suzhou) Co., Ltd.",target:cd19,2,NCT02892695|NCT06417398,2016.71,,2,,2.0,2016.71,,False,,
CAR-T,"PersonGen BioTherapeutics (Suzhou) Co., Ltd.",target:cd19+cd20,1,NCT04700319,2019.29,,1,,1.0,2019.29,,False,,
CAR-T,"PersonGen BioTherapeutics (Suzhou) Co., Ltd.",target:cd22,1,NCT03999697,2018.96,,1,,1.0,2018.96,,False,,
CAR-T,"PersonGen BioTherapeutics (Suzhou) Co., Ltd.",target:cd276,1,NCT04864821,2021.38,,1,,,,,False,,
CAR-T,"PersonGen BioTherapeutics (Suzhou) Co., Ltd.",target:cd7,5,NCT02742727|NCT04004637|NCT04480788|NCT07188610|NCT07623681,2016.21,,2,2.0,2.0,2016.21,,False,,
CAR-T,"PersonGen BioTherapeutics (Suzhou) Co., Ltd.",target:muc1,3,NCT02587689|NCT02617134|NCT02839954,2015.79,,2,,2.0,2015.79,,False,,
CAR-T,"PersonGen BioTherapeutics (Suzhou) Co., Ltd.",unnamed,2,NCT04691349|NCT04702841,2020.46,,1,,,,,False,,
CAR-T,"PersonGen BioTherapeutics (Suzhou) Co., Ltd.",utaa06,2,NCT05722171|NCT05731219,2022.71,,1,,,,,False,,
CAR-T,"PersonGen BioTherapeutics (Suzhou) Co., Ltd.",utaa07,1,NCT07338604,2025.96,,1,1.0,,,,False,,
CAR-T,Pfizer,tti-622,1,NCT05626322,2023.62,,2,,,,,True,,
CAR-T,Pfizer,unnamed,1,NCT05896163,2023.62,,2,,,,,True,,
CAR-T,Pinze Lifetechnology Co. Ltd.,pz01,1,NCT03281551,2017.79,,1,,1.0,2017.79,,False,,
CAR-T,"Poseida Therapeutics, Inc.",bcma-101,1,NCT03288493,2017.71,,2,,2.0,2017.71,,True,,
CAR-T,"Poseida Therapeutics, Inc.",psma-101,1,NCT04249947,2020.12,,1,,,,,True,,
CAR-T,"Poseida Therapeutics, Inc.",target:bcma,1,NCT04960579,2022.38,,1,1.0,,,,True,,
CAR-T,"Poseida Therapeutics, Inc.",unnamed,3,NCT03741127|NCT05239143|NCT06014762,2018.79,,1,1.0,1.0,2018.79,,True,,
CAR-T,"Precigen, Inc",prgn-3005,1,NCT03907527,2019.29,,1,1.0,1.0,2019.29,,True,,
CAR-T,"Precigen, Inc",prgn-3006,1,NCT03927261,2019.38,,1,1.0,1.0,2019.38,,True,,
CAR-T,"Precision BioSciences, Inc.",pbcar19b,1,NCT04649112,2021.46,,1,,,,,True,,
CAR-T,"Precision BioSciences, Inc.",pbcar20a,1,NCT04030195,2020.21,,2,,,,,True,,
CAR-T,Quell Therapeutics Limited,qel-001,1,NCT05234190,2022.04,,2,2.0,,,,True,,
CAR-T,Quell Therapeutics Limited,qel-005,1,NCT07473154,2026.29,,2,2.0,,,,True,,
CAR-T,Regeneron Pharmaceuticals,bbt369,1,NCT05169489,2022.04,,1,,,,,True,,
CAR-T,Regeneron Pharmaceuticals,bpx-601,2,NCT02744287|NCT07543055,2016.88,,1,1.0,1.0,2016.88,,True,,
CAR-T,Regeneron Pharmaceuticals,regn2810,1,NCT06469281,2024.62,,1,1.0,,,,True,,
CAR-T,RiboX Therapeutics Ltd.,rxim002,1,NCT07765966,2027.12,,1,1.0,,,,False,,
CAR-T,Sabz Biomedicals,target:cd19,1,NCT04653493,2021.62,,1,,,,,False,,
CAR-T,Sana Biotechnology,sc262,1,NCT06285422,2024.29,,1,1.0,,,,True,,
CAR-T,Sana Biotechnology,sc291,2,NCT05878184|NCT06294236,2023.38,,1,1.0,,,,True,,
CAR-T,Sangamo Therapeutics,tx200,1,NCT04817774,2021.21,,2,,,,,True,,
CAR-T,Sanofi,thor-707,1,NCT05179603,2021.96,,2,,,,,True,,
CAR-T,"Shandong Qilu Cell Therapy Engineering Technology Co., Ltd",unnamed,1,NCT07048353,2025.54,,1,1.0,,,,False,,
