product,proper_name,sponsor,indication_seed,platform_class,genetic_modification,fda_year_seed,eu_year_seed,in_fda_list_2026-08-18,public_sales_seed,post_approval_event_seed,notes,membership_source,dates_verified,date_source,fda_approval_date,fda_pathway,fda_source_url,fda_status,fda_post_approval_event,fda_event_date,fda_event_source_url,eu_authorisation_date,eu_authorisation_type,eu_withdrawn_date,eu_source_url,eu_status,fetched_date
Gintuit,allogeneic cultured keratinocytes and fibroblasts,Organogenesis,gingival recession,tissue engineered,no,2012,,yes,,,out of scope,"S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",out-of-scope,,,,,,,,,,,,,,
Stratagraft,allogeneic cultured keratinocytes and dermal fibroblasts,Stratatech,burns,tissue engineered,no,2021,,yes,,,out of scope,"S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",out-of-scope,,,,,,,,,,,,,,
Rethymic,allogeneic processed thymus tissue,Enzyvant,congenital athymia,tissue,no,2021,,yes,,,out of scope,"S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",out-of-scope,,,,,,,,,,,,,,
Symvess,acellular tissue engineered vessel,Humacyte,vascular trauma,tissue engineered,no,2024,,yes,yes,,out of scope,"S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",out-of-scope,,,,,,,,,,,,,,
"HPC, Cord Blood (8 licensed banks)",,"Allocord, Clevecord, Ducord, Hemacord, Regenecyte, Clinimmune, MD Anderson, LifeSouth, Bloodworks",haematopoietic reconstitution,cord blood,no,,,yes,,,out of scope; eight entries on the FDA list,"S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",out-of-scope,,,,,,,,,,,,,,
Glybera,alipogene tiparvovec,uniQure,lipoprotein lipase deficiency,AAV intramuscular,yes,,2012,no,,withdrawn 2017 after minimal use,EU-only,seeded-from-memory,yes,not-applicable; https://www.ema.europa.eu/en/medicines/human/EPAR/glybera,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,,,2012-10-25,exceptional circumstances,2017-10-28,https://www.ema.europa.eu/en/medicines/human/EPAR/glybera,verified-from-source,2026-09-04
Strimvelis,autologous CD34+ cells transduced with ADA,"Orchard, then Fondazione Telethon",ADA-SCID,gammaretroviral ex vivo,yes,,2016,no,,,EU-only,seeded-from-memory,yes,not-applicable; https://www.ema.europa.eu/en/medicines/human/EPAR/strimvelis,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,,,2016-05-26,standard (ATMP),,https://www.ema.europa.eu/en/medicines/human/EPAR/strimvelis,verified-from-source,2026-09-04
Zalmoxis,allogeneic T cells with HSV-TK,MolMed,haploidentical HSCT adjunct,gene-modified T cells,yes,,2016,no,,withdrawn 2019,EU-only,seeded-from-memory,yes,not-applicable; https://www.ema.europa.eu/en/medicines/human/EPAR/zalmoxis,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,,,2016-08-18,conditional,2019-10-09,https://www.ema.europa.eu/en/medicines/human/EPAR/zalmoxis,verified-from-source,2026-09-04
Alofisel,darvadstrocel,Takeda,perianal fistulas in Crohn disease,allogeneic MSC,no,,2018,no,,withdrawn 2024 after failed confirmatory trial,EU-only; non-genetic,seeded-from-memory,yes,not-applicable; https://www.ema.europa.eu/en/medicines/human/EPAR/alofisel,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,,,2018-03-23,standard (ATMP),2024-12-13,https://www.ema.europa.eu/en/medicines/human/EPAR/alofisel,verified-from-source,2026-09-04
Ebvallo,tabelecleucel,Atara / Pierre Fabre,EBV-positive PTLD,allogeneic EBV-specific T cells,no,,2022,no,,,EU-only; non-genetic,seeded-from-memory,yes,not-applicable; https://www.ema.europa.eu/en/medicines/human/EPAR/ebvallo,not-applicable,not-applicable,not-applicable,not-applicable,"US BLA twice refused: FDA Complete Response Letter 2025-01-15 (third-party manufacturing facility observations; no new clinical trials requested), resubmitted BLA accepted with priority review July 2025 (PDUFA 2026-01-10), second CRL January 2026",2026-01,https://investors.atarabio.com/news-events/press-releases/detail/380/atara-biotherapeutics-provides-regulatory-and-business,2022-12-16,exceptional circumstances,,https://www.ema.europa.eu/en/medicines/human/EPAR/ebvallo,verified-from-source,2026-09-04
