product_key,system,n_rows,n_usable,first_decision_date,first_outcome,first_body,months_approval_to_first_decision,approval_basis,months_fda_to_first_decision,first_funding_body,first_funding_date,months_approval_to_first_funding,months_approval_to_first_funding_excl_early_access,latest_outcome,latest_decision_date,arrangement_types,any_not_recommended,statuses
yescarta,Italy,4,4,2019-11-11,recommended-managed-access,AIFA,14.6,stated by agent,24.8,AIFA,2019-11-11,14.6,14.6,recommended-restricted,2023-11-11,"confidential-discount,outcomes-based",False,verified-from-source
zalmoxis,Australia,1,0,,not-submitted,,,,,,,,,,,,False,provisional-from-snippet
zalmoxis,Canada,1,0,,not-submitted,,,,,,,,,,,,False,not-found
zalmoxis,England,1,0,,not-found,,,,,,,,,,,,False,not-found
zalmoxis,France,1,0,,not-found,,,,,,,,,,,,False,not-found
zalmoxis,Germany,1,1,2018-07-05,recommended-restricted,G-BA,22.5,stated by agent,,G-BA,2018-07-05,22.5,22.5,recommended-restricted,2018-07-05,none,False,verified-from-source
zalmoxis,Italy,1,1,2018-02-14,recommended-managed-access,AIFA,17.9,stated by agent,,AIFA,2018-02-14,17.9,17.9,recommended-managed-access,2018-02-14,other,False,verified-from-source
zevaskyn,Australia,1,0,,not-submitted,,,,,,,,,,,,False,provisional-from-snippet
zevaskyn,Canada,1,0,,not-submitted,,,,,,,,,,,,False,not-found
zevaskyn,England,1,0,,not-found,,,,,,,,,,,,False,not-found
zevaskyn,France,1,0,,not-submitted,,,,,,,,,,,,False,not-found
zevaskyn,Germany,1,0,,not-submitted,,,,,,,,,,,,False,not-found
zevaskyn,Italy,1,0,,not-submitted,,,,,,,,,,,,False,not-found
zolgensma,Australia,8,6,2021-02-24,recommended,TGA,-0.3,stated by agent,21.1,PBAC,2021-09-01,5.9,5.9,recommended-restricted,2025-11-01,"none,outcomes-based",True,verified-from-source
zolgensma,Canada,3,3,2020-11-18,recommended-restricted,CADTH,-0.9,stated by agent,17.9,pCPA,2021-10-08,9.8,9.8,recommended,2021-10-08,confidential-discount,False,verified-from-source
zolgensma,England,2,2,2021-07-07,recommended-restricted,NICE,13.6,stated by agent,25.5,NICE,2021-07-07,13.6,13.6,recommended,2023-04-19,"confidential-discount,managed-access-agreement",False,verified-from-source
zolgensma,France,10,9,2020-05-15,recommended-managed-access,ANSM (accès précoce),-0.1,stated by agent,11.7,ANSM (accès précoce),2020-05-15,-0.1,,not-recommended,2023-05-10,"managed-access-agreement,none,unknown",True,"not-found,verified-from-source"
zolgensma,Germany,6,6,2020-12-03,terminated-or-withdrawn,G-BA,6.5,stated by agent,18.4,G-BA,2021-02-04,8.6,8.6,not-recommended,2021-11-04,"none,outcomes-based",True,verified-from-source
zolgensma,Italy,2,2,2021-03-13,recommended-managed-access,AIFA,9.8,stated by agent,21.6,AIFA,2021-03-13,9.8,9.8,recommended-restricted,2024-03-16,"confidential-discount,outcomes-based",False,verified-from-source
zynteglo,Australia,1,0,,not-submitted,,,,,,,,,,,,False,provisional-from-snippet
zynteglo,Canada,1,0,,not-submitted,,,,,,,,,,,,False,not-found
zynteglo,England,1,1,2022-12-16,terminated-or-withdrawn,NICE,42.6,stated by agent,4.0,,,,,terminated-or-withdrawn,2022-12-16,none,False,verified-from-source
zynteglo,France,3,2,2020-03-18,recommended-restricted,HAS-CT,9.7,stated by agent,-29.0,,,,,not-recommended,2020-03-18,"none,unknown",True,"not-found,verified-from-source"
zynteglo,Germany,2,1,2020-05-14,recommended-restricted,G-BA,11.5,stated by agent,-27.1,G-BA,2020-05-14,11.5,11.5,recommended-restricted,2020-05-14,outcomes-based,False,"provisional-from-snippet,verified-from-source"
zynteglo,Italy,1,0,,not-found,,,,,,,,,,,,False,not-found
