endpoint,system,months,cif_funded,cif_competing,km_funded_competing_censored,n_at_risk_after
primary,Germany,95,0.8341,0.1196,0.9418,1
primary,Germany,96,0.8341,0.1196,0.9418,1
primary,Germany,97,0.8341,0.1196,0.9418,1
primary,Germany,98,0.8341,0.1196,0.9418,1
primary,Germany,99,0.8341,0.1196,0.9418,1
primary,Germany,100,0.8341,0.1196,0.9418,1
primary,Germany,101,0.8341,0.1196,0.9418,1
primary,Germany,102,0.8341,0.1196,0.9418,1
primary,Germany,103,0.8341,0.1196,0.9418,1
primary,Germany,104,0.8341,0.1196,0.9418,1
primary,Germany,105,0.8341,0.1196,0.9418,1
primary,Germany,106,0.8341,0.1196,0.9418,1
primary,Germany,107,0.8341,0.1196,0.9418,1
primary,Germany,108,0.8341,0.1196,0.9418,1
primary,Germany,109,0.8341,0.1196,0.9418,1
primary,Germany,110,0.8341,0.1196,0.9418,1
primary,Germany,111,0.8341,0.1196,0.9418,1
primary,Germany,112,0.8341,0.1196,0.9418,1
primary,Germany,113,0.8341,0.1196,0.9418,1
primary,Germany,114,0.8341,0.1196,0.9418,1
primary,Germany,115,0.8341,0.1196,0.9418,1
primary,Germany,116,0.8341,0.1196,0.9418,1
primary,Germany,117,0.8341,0.1196,0.9418,1
primary,Germany,118,0.8341,0.1196,0.9418,1
primary,Germany,119,0.8341,0.1196,0.9418,1
primary,Germany,120,0.8341,0.1196,0.9418,1
primary,Italy,0,0.0,0.0,0.0,28
primary,Italy,1,0.0,0.0,0.0,28
primary,Italy,2,0.0,0.0,0.0,28
primary,Italy,3,0.0357,0.0,0.0357,26
primary,Italy,4,0.0357,0.0,0.0357,25
primary,Italy,5,0.0357,0.0386,0.0357,24
primary,Italy,6,0.0357,0.0386,0.0357,24
primary,Italy,7,0.0357,0.0771,0.0357,23
primary,Italy,8,0.0357,0.0771,0.0357,22
primary,Italy,9,0.0357,0.0771,0.0357,22
primary,Italy,10,0.076,0.1175,0.0816,20
primary,Italy,11,0.076,0.1175,0.0816,20
primary,Italy,12,0.1164,0.1175,0.1276,19
primary,Italy,13,0.1164,0.1175,0.1276,19
primary,Italy,14,0.1164,0.1175,0.1276,18
primary,Italy,15,0.2015,0.1175,0.2245,16
primary,Italy,16,0.2441,0.1175,0.273,15
primary,Italy,17,0.3353,0.1175,0.3768,12
primary,Italy,18,0.3809,0.1175,0.4288,11
primary,Italy,19,0.3809,0.1175,0.4288,11
primary,Italy,20,0.4265,0.1631,0.4807,9
primary,Italy,21,0.4265,0.1631,0.4807,9
primary,Italy,22,0.4265,0.1631,0.4807,9
primary,Italy,23,0.4721,0.1631,0.5384,8
primary,Italy,24,0.4721,0.1631,0.5384,8
primary,Italy,25,0.4721,0.1631,0.5384,8
primary,Italy,26,0.5177,0.1631,0.5961,7
primary,Italy,27,0.5633,0.1631,0.6538,6
primary,Italy,28,0.5633,0.1631,0.6538,6
primary,Italy,29,0.5633,0.1631,0.6538,6
primary,Italy,30,0.6089,0.1631,0.7115,5
primary,Italy,31,0.6545,0.1631,0.7692,4
primary,Italy,32,0.6545,0.1631,0.7692,4
primary,Italy,33,0.6545,0.1631,0.7692,4
primary,Italy,34,0.6545,0.2087,0.7692,3
primary,Italy,35,0.6545,0.2087,0.7692,3
primary,Italy,36,0.6545,0.2087,0.7692,3
primary,Italy,37,0.6545,0.2087,0.7692,3
primary,Italy,38,0.6545,0.2087,0.7692,3
primary,Italy,39,0.6545,0.2087,0.7692,3
primary,Italy,40,0.6545,0.2087,0.7692,3
primary,Italy,41,0.6545,0.2087,0.7692,3
primary,Italy,42,0.6545,0.2087,0.7692,3
primary,Italy,43,0.6545,0.2087,0.7692,3
primary,Italy,44,0.6545,0.2087,0.7692,3
primary,Italy,45,0.6545,0.2087,0.7692,3
primary,Italy,46,0.6545,0.2087,0.7692,3
primary,Italy,47,0.7001,0.2087,0.8461,2
primary,Italy,48,0.7001,0.2087,0.8461,2
primary,Italy,49,0.7001,0.2087,0.8461,2
primary,Italy,50,0.7001,0.2087,0.8461,2
primary,Italy,51,0.7001,0.2087,0.8461,2
primary,Italy,52,0.7001,0.2087,0.8461,2
primary,Italy,53,0.7001,0.2087,0.8461,2
primary,Italy,54,0.7001,0.2087,0.8461,2
primary,Italy,55,0.7001,0.2087,0.8461,2
primary,Italy,56,0.7001,0.2087,0.8461,2
primary,Italy,57,0.7001,0.2087,0.8461,2
primary,Italy,58,0.7001,0.2087,0.8461,2
primary,Italy,59,0.7001,0.2087,0.8461,2
primary,Italy,60,0.7001,0.2087,0.8461,2
primary,Italy,61,0.7001,0.2543,0.8461,1
primary,Italy,62,0.7001,0.2543,0.8461,1
primary,Italy,63,0.7001,0.2543,0.8461,1
primary,Italy,64,0.7001,0.2543,0.8461,1
primary,Italy,65,0.7001,0.2543,0.8461,1
primary,Italy,66,0.7001,0.2543,0.8461,1
primary,Italy,67,0.7001,0.2543,0.8461,1
primary,Italy,68,0.7001,0.2543,0.8461,1
primary,Italy,69,0.7001,0.2543,0.8461,1
primary,Italy,70,0.7001,0.2543,0.8461,1
primary,Italy,71,0.7001,0.2543,0.8461,1
primary,Italy,72,0.7001,0.2543,0.8461,1
primary,Italy,73,0.7001,0.2543,0.8461,1
primary,Italy,74,0.7001,0.2543,0.8461,1
primary,Italy,75,0.7001,0.2543,0.8461,1
primary,Italy,76,0.7001,0.2543,0.8461,1
primary,Italy,77,0.7001,0.2543,0.8461,1
primary,Italy,78,0.7001,0.2543,0.8461,1
primary,Italy,79,0.7001,0.2543,0.8461,1
primary,Italy,80,0.7001,0.2543,0.8461,1
primary,Italy,81,0.7001,0.2543,0.8461,1
primary,Italy,82,0.7001,0.2543,0.8461,1
primary,Italy,83,0.7001,0.2543,0.8461,1
primary,Italy,84,0.7001,0.2543,0.8461,1
primary,Italy,85,0.7001,0.2543,0.8461,1
primary,Italy,86,0.7001,0.2543,0.8461,1
primary,Italy,87,0.7001,0.2543,0.8461,1
primary,Italy,88,0.7001,0.2543,0.8461,1
primary,Italy,89,0.7001,0.2543,0.8461,1
primary,Italy,90,0.7001,0.2543,0.8461,1
primary,Italy,91,0.7001,0.2543,0.8461,1
primary,Italy,92,0.7001,0.2543,0.8461,1
primary,Italy,93,0.7001,0.2543,0.8461,1
primary,Italy,94,0.7001,0.2543,0.8461,1
primary,Italy,95,0.7001,0.2543,0.8461,1
primary,Italy,96,0.7001,0.2543,0.8461,1
primary,Italy,97,0.7001,0.2543,0.8461,1
primary,Italy,98,0.7001,0.2543,0.8461,1
primary,Italy,99,0.7001,0.2543,0.8461,1
primary,Italy,100,0.7001,0.2543,0.8461,1
primary,Italy,101,0.7001,0.2543,0.8461,1
primary,Italy,102,0.7001,0.2543,0.8461,1
primary,Italy,103,0.7001,0.2543,0.8461,1
primary,Italy,104,0.7001,0.2543,0.8461,1
primary,Italy,105,0.7001,0.2543,0.8461,1
primary,Italy,106,0.7001,0.2543,0.8461,1
primary,Italy,107,0.7001,0.2543,0.8461,1
primary,Italy,108,0.7001,0.2543,0.8461,1
primary,Italy,109,0.7001,0.2543,0.8461,1
primary,Italy,110,0.7001,0.2543,0.8461,1
primary,Italy,111,0.7001,0.2543,0.8461,1
primary,Italy,112,0.7001,0.2543,0.8461,1
primary,Italy,113,0.7001,0.2543,0.8461,1
primary,Italy,114,0.7001,0.2543,0.8461,1
primary,Italy,115,0.7001,0.2543,0.8461,1
primary,Italy,116,0.7001,0.2543,0.8461,1
primary,Italy,117,0.7001,0.2543,0.8461,1
primary,Italy,118,0.7001,0.2543,0.8461,1
primary,Italy,119,0.7001,0.2543,0.8461,1
primary,Italy,120,0.7001,0.2543,0.8461,1
primary,United States,0,0.037,0.0,0.037,26
primary,United States,1,0.037,0.0,0.037,25
primary,United States,2,0.1141,0.0,0.1141,23
primary,United States,3,0.2296,0.0,0.2296,20
primary,United States,4,0.4222,0.0,0.4222,15
primary,United States,5,0.6533,0.0,0.6533,9
primary,United States,6,0.6967,0.0,0.6967,7
primary,United States,7,0.7833,0.0,0.7833,5
primary,United States,8,0.7833,0.0,0.7833,5
primary,United States,9,0.8267,0.0,0.8267,4
primary,United States,10,0.9133,0.0,0.9133,2
primary,United States,11,1.0,0.0,1.0,0
primary,United States,12,1.0,0.0,1.0,0
primary,United States,13,1.0,0.0,1.0,0
primary,United States,14,1.0,0.0,1.0,0
primary,United States,15,1.0,0.0,1.0,0
primary,United States,16,1.0,0.0,1.0,0
primary,United States,17,1.0,0.0,1.0,0
primary,United States,18,1.0,0.0,1.0,0
primary,United States,19,1.0,0.0,1.0,0
primary,United States,20,1.0,0.0,1.0,0
primary,United States,21,1.0,0.0,1.0,0
primary,United States,22,1.0,0.0,1.0,0
primary,United States,23,1.0,0.0,1.0,0
primary,United States,24,1.0,0.0,1.0,0
primary,United States,25,1.0,0.0,1.0,0
primary,United States,26,1.0,0.0,1.0,0
primary,United States,27,1.0,0.0,1.0,0
primary,United States,28,1.0,0.0,1.0,0
primary,United States,29,1.0,0.0,1.0,0
primary,United States,30,1.0,0.0,1.0,0
primary,United States,31,1.0,0.0,1.0,0
primary,United States,32,1.0,0.0,1.0,0
primary,United States,33,1.0,0.0,1.0,0
primary,United States,34,1.0,0.0,1.0,0
primary,United States,35,1.0,0.0,1.0,0
primary,United States,36,1.0,0.0,1.0,0
primary,United States,37,1.0,0.0,1.0,0
primary,United States,38,1.0,0.0,1.0,0
primary,United States,39,1.0,0.0,1.0,0
primary,United States,40,1.0,0.0,1.0,0
primary,United States,41,1.0,0.0,1.0,0
primary,United States,42,1.0,0.0,1.0,0
primary,United States,43,1.0,0.0,1.0,0
primary,United States,44,1.0,0.0,1.0,0
primary,United States,45,1.0,0.0,1.0,0
primary,United States,46,1.0,0.0,1.0,0
primary,United States,47,1.0,0.0,1.0,0
primary,United States,48,1.0,0.0,1.0,0
primary,United States,49,1.0,0.0,1.0,0
primary,United States,50,1.0,0.0,1.0,0
primary,United States,51,1.0,0.0,1.0,0
primary,United States,52,1.0,0.0,1.0,0
primary,United States,53,1.0,0.0,1.0,0
primary,United States,54,1.0,0.0,1.0,0
primary,United States,55,1.0,0.0,1.0,0
primary,United States,56,1.0,0.0,1.0,0
primary,United States,57,1.0,0.0,1.0,0
primary,United States,58,1.0,0.0,1.0,0
primary,United States,59,1.0,0.0,1.0,0
primary,United States,60,1.0,0.0,1.0,0
primary,United States,61,1.0,0.0,1.0,0
primary,United States,62,1.0,0.0,1.0,0
primary,United States,63,1.0,0.0,1.0,0
primary,United States,64,1.0,0.0,1.0,0
primary,United States,65,1.0,0.0,1.0,0
primary,United States,66,1.0,0.0,1.0,0
primary,United States,67,1.0,0.0,1.0,0
primary,United States,68,1.0,0.0,1.0,0
primary,United States,69,1.0,0.0,1.0,0
primary,United States,70,1.0,0.0,1.0,0
primary,United States,71,1.0,0.0,1.0,0
primary,United States,72,1.0,0.0,1.0,0
primary,United States,73,1.0,0.0,1.0,0
primary,United States,74,1.0,0.0,1.0,0
primary,United States,75,1.0,0.0,1.0,0
primary,United States,76,1.0,0.0,1.0,0
primary,United States,77,1.0,0.0,1.0,0
primary,United States,78,1.0,0.0,1.0,0
primary,United States,79,1.0,0.0,1.0,0
primary,United States,80,1.0,0.0,1.0,0
primary,United States,81,1.0,0.0,1.0,0
primary,United States,82,1.0,0.0,1.0,0
primary,United States,83,1.0,0.0,1.0,0
primary,United States,84,1.0,0.0,1.0,0
primary,United States,85,1.0,0.0,1.0,0
primary,United States,86,1.0,0.0,1.0,0
primary,United States,87,1.0,0.0,1.0,0
primary,United States,88,1.0,0.0,1.0,0
primary,United States,89,1.0,0.0,1.0,0
primary,United States,90,1.0,0.0,1.0,0
primary,United States,91,1.0,0.0,1.0,0
primary,United States,92,1.0,0.0,1.0,0
primary,United States,93,1.0,0.0,1.0,0
primary,United States,94,1.0,0.0,1.0,0
primary,United States,95,1.0,0.0,1.0,0
primary,United States,96,1.0,0.0,1.0,0
primary,United States,97,1.0,0.0,1.0,0
primary,United States,98,1.0,0.0,1.0,0
primary,United States,99,1.0,0.0,1.0,0
primary,United States,100,1.0,0.0,1.0,0
primary,United States,101,1.0,0.0,1.0,0
primary,United States,102,1.0,0.0,1.0,0
primary,United States,103,1.0,0.0,1.0,0
primary,United States,104,1.0,0.0,1.0,0
primary,United States,105,1.0,0.0,1.0,0
primary,United States,106,1.0,0.0,1.0,0
primary,United States,107,1.0,0.0,1.0,0
primary,United States,108,1.0,0.0,1.0,0
primary,United States,109,1.0,0.0,1.0,0
primary,United States,110,1.0,0.0,1.0,0
primary,United States,111,1.0,0.0,1.0,0
primary,United States,112,1.0,0.0,1.0,0
primary,United States,113,1.0,0.0,1.0,0
primary,United States,114,1.0,0.0,1.0,0
primary,United States,115,1.0,0.0,1.0,0
primary,United States,116,1.0,0.0,1.0,0
primary,United States,117,1.0,0.0,1.0,0
primary,United States,118,1.0,0.0,1.0,0
primary,United States,119,1.0,0.0,1.0,0
primary,United States,120,1.0,0.0,1.0,0
routine,Australia,0,0.125,0.0,0.125,7
routine,Australia,1,0.25,0.0,0.25,6
routine,Australia,2,0.25,0.0,0.25,6
routine,Australia,3,0.25,0.0,0.25,6
routine,Australia,4,0.5,0.0,0.5,4
routine,Australia,5,0.5,0.0,0.5,4
routine,Australia,6,0.625,0.0,0.625,3
routine,Australia,7,0.625,0.125,0.625,2
routine,Australia,8,0.625,0.125,0.625,2
routine,Australia,9,0.625,0.125,0.625,2
routine,Australia,10,0.75,0.125,0.8125,1
routine,Australia,11,0.75,0.125,0.8125,1
routine,Australia,12,0.75,0.125,0.8125,1
routine,Australia,13,0.75,0.125,0.8125,1
routine,Australia,14,0.75,0.125,0.8125,1
routine,Australia,15,0.75,0.125,0.8125,1
routine,Australia,16,0.75,0.125,0.8125,1
routine,Australia,17,0.875,0.125,1.0,0
routine,Australia,18,0.875,0.125,1.0,0
routine,Australia,19,0.875,0.125,1.0,0
routine,Australia,20,0.875,0.125,1.0,0
routine,Australia,21,0.875,0.125,1.0,0
routine,Australia,22,0.875,0.125,1.0,0
routine,Australia,23,0.875,0.125,1.0,0
routine,Australia,24,0.875,0.125,1.0,0
routine,Australia,25,0.875,0.125,1.0,0
routine,Australia,26,0.875,0.125,1.0,0
routine,Australia,27,0.875,0.125,1.0,0
routine,Australia,28,0.875,0.125,1.0,0
routine,Australia,29,0.875,0.125,1.0,0
routine,Australia,30,0.875,0.125,1.0,0
routine,Australia,31,0.875,0.125,1.0,0
routine,Australia,32,0.875,0.125,1.0,0
routine,Australia,33,0.875,0.125,1.0,0
routine,Australia,34,0.875,0.125,1.0,0
routine,Australia,35,0.875,0.125,1.0,0
routine,Australia,36,0.875,0.125,1.0,0
routine,Australia,37,0.875,0.125,1.0,0
routine,Australia,38,0.875,0.125,1.0,0
routine,Australia,39,0.875,0.125,1.0,0
routine,Australia,40,0.875,0.125,1.0,0
routine,Australia,41,0.875,0.125,1.0,0
routine,Australia,42,0.875,0.125,1.0,0
routine,Australia,43,0.875,0.125,1.0,0
routine,Australia,44,0.875,0.125,1.0,0
routine,Australia,45,0.875,0.125,1.0,0
routine,Australia,46,0.875,0.125,1.0,0
routine,Australia,47,0.875,0.125,1.0,0
routine,Australia,48,0.875,0.125,1.0,0
routine,Australia,49,0.875,0.125,1.0,0
routine,Australia,50,0.875,0.125,1.0,0
routine,Australia,51,0.875,0.125,1.0,0
routine,Australia,52,0.875,0.125,1.0,0
routine,Australia,53,0.875,0.125,1.0,0
routine,Australia,54,0.875,0.125,1.0,0
routine,Australia,55,0.875,0.125,1.0,0
routine,Australia,56,0.875,0.125,1.0,0
routine,Australia,57,0.875,0.125,1.0,0
routine,Australia,58,0.875,0.125,1.0,0
routine,Australia,59,0.875,0.125,1.0,0
routine,Australia,60,0.875,0.125,1.0,0
routine,Australia,61,0.875,0.125,1.0,0
routine,Australia,62,0.875,0.125,1.0,0
routine,Australia,63,0.875,0.125,1.0,0
routine,Australia,64,0.875,0.125,1.0,0
routine,Australia,65,0.875,0.125,1.0,0
routine,Australia,66,0.875,0.125,1.0,0
routine,Australia,67,0.875,0.125,1.0,0
routine,Australia,68,0.875,0.125,1.0,0
routine,Australia,69,0.875,0.125,1.0,0
routine,Australia,70,0.875,0.125,1.0,0
routine,Australia,71,0.875,0.125,1.0,0
routine,Australia,72,0.875,0.125,1.0,0
routine,Australia,73,0.875,0.125,1.0,0
routine,Australia,74,0.875,0.125,1.0,0
routine,Australia,75,0.875,0.125,1.0,0
routine,Australia,76,0.875,0.125,1.0,0
routine,Australia,77,0.875,0.125,1.0,0
routine,Australia,78,0.875,0.125,1.0,0
routine,Australia,79,0.875,0.125,1.0,0
routine,Australia,80,0.875,0.125,1.0,0
routine,Australia,81,0.875,0.125,1.0,0
routine,Australia,82,0.875,0.125,1.0,0
routine,Australia,83,0.875,0.125,1.0,0
routine,Australia,84,0.875,0.125,1.0,0
routine,Australia,85,0.875,0.125,1.0,0
routine,Australia,86,0.875,0.125,1.0,0
routine,Australia,87,0.875,0.125,1.0,0
routine,Australia,88,0.875,0.125,1.0,0
routine,Australia,89,0.875,0.125,1.0,0
routine,Australia,90,0.875,0.125,1.0,0
routine,Australia,91,0.875,0.125,1.0,0
routine,Australia,92,0.875,0.125,1.0,0
routine,Australia,93,0.875,0.125,1.0,0
routine,Australia,94,0.875,0.125,1.0,0
routine,Australia,95,0.875,0.125,1.0,0
routine,Australia,96,0.875,0.125,1.0,0
routine,Australia,97,0.875,0.125,1.0,0
routine,Australia,98,0.875,0.125,1.0,0
routine,Australia,99,0.875,0.125,1.0,0
routine,Australia,100,0.875,0.125,1.0,0
routine,Australia,101,0.875,0.125,1.0,0
routine,Australia,102,0.875,0.125,1.0,0
routine,Australia,103,0.875,0.125,1.0,0
routine,Australia,104,0.875,0.125,1.0,0
routine,Australia,105,0.875,0.125,1.0,0
routine,Australia,106,0.875,0.125,1.0,0
routine,Australia,107,0.875,0.125,1.0,0
routine,Australia,108,0.875,0.125,1.0,0
routine,Australia,109,0.875,0.125,1.0,0
routine,Australia,110,0.875,0.125,1.0,0
routine,Australia,111,0.875,0.125,1.0,0
routine,Australia,112,0.875,0.125,1.0,0
routine,Australia,113,0.875,0.125,1.0,0
routine,Australia,114,0.875,0.125,1.0,0
routine,Australia,115,0.875,0.125,1.0,0
routine,Australia,116,0.875,0.125,1.0,0
routine,Australia,117,0.875,0.125,1.0,0
routine,Australia,118,0.875,0.125,1.0,0
routine,Australia,119,0.875,0.125,1.0,0
routine,Australia,120,0.875,0.125,1.0,0
routine,Canada,0,0.0,0.0714,0.0,13
routine,Canada,1,0.0,0.0714,0.0,13
routine,Canada,2,0.0,0.0714,0.0,13
routine,Canada,3,0.0,0.0714,0.0,13
routine,Canada,4,0.0,0.0714,0.0,13
routine,Canada,5,0.0,0.0714,0.0,13
routine,Canada,6,0.0,0.0714,0.0,12
routine,Canada,7,0.0,0.0714,0.0,12
routine,Canada,8,0.0,0.0714,0.0,12
routine,Canada,9,0.0,0.0714,0.0,12
routine,Canada,10,0.0774,0.0714,0.0833,11
routine,Canada,11,0.0774,0.0714,0.0833,11
routine,Canada,12,0.0774,0.0714,0.0833,11
routine,Canada,13,0.0774,0.0714,0.0833,10
routine,Canada,14,0.0774,0.0714,0.0833,10
routine,Canada,15,0.0774,0.0714,0.0833,10
routine,Canada,16,0.0774,0.1565,0.0833,9
routine,Canada,17,0.0774,0.1565,0.0833,9
routine,Canada,18,0.1625,0.1565,0.1852,8
routine,Canada,19,0.1625,0.1565,0.1852,8
routine,Canada,20,0.2476,0.1565,0.287,7
routine,Canada,21,0.2476,0.1565,0.287,7
routine,Canada,22,0.2476,0.1565,0.287,7
routine,Canada,23,0.3327,0.1565,0.3889,6
routine,Canada,24,0.4179,0.1565,0.4907,4
routine,Canada,25,0.4179,0.1565,0.4907,4
routine,Canada,26,0.4179,0.1565,0.4907,4
routine,Canada,27,0.4179,0.1565,0.4907,4
routine,Canada,28,0.4179,0.1565,0.4907,4
routine,Canada,29,0.4179,0.1565,0.4907,4
routine,Canada,30,0.4179,0.1565,0.4907,4
routine,Canada,31,0.4179,0.1565,0.4907,4
routine,Canada,32,0.4179,0.2629,0.4907,3
routine,Canada,33,0.4179,0.2629,0.4907,3
routine,Canada,34,0.4179,0.2629,0.4907,3
routine,Canada,35,0.4179,0.2629,0.4907,3
routine,Canada,36,0.4179,0.2629,0.4907,3
routine,Canada,37,0.4179,0.2629,0.4907,3
routine,Canada,38,0.4179,0.2629,0.4907,3
routine,Canada,39,0.4179,0.2629,0.4907,3
routine,Canada,40,0.4179,0.2629,0.4907,3
routine,Canada,41,0.4179,0.2629,0.4907,3
routine,Canada,42,0.4179,0.2629,0.4907,3
routine,Canada,43,0.4179,0.2629,0.4907,3
routine,Canada,44,0.4179,0.2629,0.4907,3
routine,Canada,45,0.4179,0.2629,0.4907,3
routine,Canada,46,0.4179,0.2629,0.4907,3
routine,Canada,47,0.4179,0.2629,0.4907,3
routine,Canada,48,0.4179,0.2629,0.4907,3
routine,Canada,49,0.4179,0.2629,0.4907,3
routine,Canada,50,0.4179,0.2629,0.4907,3
routine,Canada,51,0.4179,0.2629,0.4907,3
routine,Canada,52,0.4179,0.2629,0.4907,3
routine,Canada,53,0.4179,0.2629,0.4907,3
routine,Canada,54,0.4179,0.2629,0.4907,3
routine,Canada,55,0.4179,0.2629,0.4907,3
routine,Canada,56,0.4179,0.2629,0.4907,3
routine,Canada,57,0.4179,0.2629,0.4907,3
routine,Canada,58,0.4179,0.2629,0.4907,3
routine,Canada,59,0.4179,0.2629,0.4907,3
routine,Canada,60,0.4179,0.2629,0.4907,3
routine,Canada,61,0.4179,0.2629,0.4907,3
routine,Canada,62,0.4179,0.2629,0.4907,3
routine,Canada,63,0.4179,0.2629,0.4907,3
routine,Canada,64,0.4179,0.2629,0.4907,3
routine,Canada,65,0.4179,0.2629,0.4907,3
routine,Canada,66,0.4179,0.2629,0.4907,3
routine,Canada,67,0.5243,0.2629,0.6605,2
routine,Canada,68,0.5243,0.2629,0.6605,2
routine,Canada,69,0.5243,0.2629,0.6605,2
routine,Canada,70,0.5243,0.2629,0.6605,2
routine,Canada,71,0.5243,0.2629,0.6605,2
routine,Canada,72,0.5243,0.2629,0.6605,2
routine,Canada,73,0.5243,0.2629,0.6605,2
routine,Canada,74,0.5243,0.2629,0.6605,2
routine,Canada,75,0.5243,0.2629,0.6605,2
routine,Canada,76,0.5243,0.2629,0.6605,2
routine,Canada,77,0.5243,0.2629,0.6605,2
routine,Canada,78,0.5243,0.2629,0.6605,2
routine,Canada,79,0.5243,0.2629,0.6605,2
routine,Canada,80,0.5243,0.2629,0.6605,2
routine,Canada,81,0.5243,0.2629,0.6605,2
routine,Canada,82,0.6307,0.2629,0.8302,1
routine,Canada,83,0.6307,0.2629,0.8302,1
routine,Canada,84,0.6307,0.2629,0.8302,1
routine,Canada,85,0.6307,0.2629,0.8302,1
routine,Canada,86,0.6307,0.2629,0.8302,1
routine,Canada,87,0.6307,0.2629,0.8302,0
routine,Canada,88,0.6307,0.2629,0.8302,0
routine,Canada,89,0.6307,0.2629,0.8302,0
routine,Canada,90,0.6307,0.2629,0.8302,0
routine,Canada,91,0.6307,0.2629,0.8302,0
routine,Canada,92,0.6307,0.2629,0.8302,0
routine,Canada,93,0.6307,0.2629,0.8302,0
routine,Canada,94,0.6307,0.2629,0.8302,0
routine,Canada,95,0.6307,0.2629,0.8302,0
routine,Canada,96,0.6307,0.2629,0.8302,0
routine,Canada,97,0.6307,0.2629,0.8302,0
routine,Canada,98,0.6307,0.2629,0.8302,0
routine,Canada,99,0.6307,0.2629,0.8302,0
routine,Canada,100,0.6307,0.2629,0.8302,0
routine,Canada,101,0.6307,0.2629,0.8302,0
routine,Canada,102,0.6307,0.2629,0.8302,0
routine,Canada,103,0.6307,0.2629,0.8302,0
routine,Canada,104,0.6307,0.2629,0.8302,0
routine,Canada,105,0.6307,0.2629,0.8302,0
routine,Canada,106,0.6307,0.2629,0.8302,0
routine,Canada,107,0.6307,0.2629,0.8302,0
routine,Canada,108,0.6307,0.2629,0.8302,0
routine,Canada,109,0.6307,0.2629,0.8302,0
routine,Canada,110,0.6307,0.2629,0.8302,0
routine,Canada,111,0.6307,0.2629,0.8302,0
routine,Canada,112,0.6307,0.2629,0.8302,0
routine,Canada,113,0.6307,0.2629,0.8302,0
routine,Canada,114,0.6307,0.2629,0.8302,0
routine,Canada,115,0.6307,0.2629,0.8302,0
routine,Canada,116,0.6307,0.2629,0.8302,0
routine,Canada,117,0.6307,0.2629,0.8302,0
routine,Canada,118,0.6307,0.2629,0.8302,0
routine,Canada,119,0.6307,0.2629,0.8302,0
routine,Canada,120,0.6307,0.2629,0.8302,0
routine,England,0,0.0,0.0,0.0,28
routine,England,1,0.0,0.0,0.0,28
routine,England,2,0.0,0.0,0.0,28
routine,England,3,0.0,0.0,0.0,27
routine,England,4,0.0,0.0,0.0,26
routine,England,5,0.0385,0.0385,0.04,24
routine,England,6,0.0385,0.0385,0.04,24
routine,England,7,0.0385,0.0385,0.04,24
routine,England,8,0.0385,0.0385,0.04,23
routine,England,9,0.0786,0.0385,0.0817,22
routine,England,10,0.1187,0.1187,0.1235,19
routine,England,11,0.1589,0.1589,0.1722,17
routine,England,12,0.1589,0.199,0.1722,16
routine,England,13,0.1589,0.199,0.1722,16
routine,England,14,0.199,0.199,0.2239,15
routine,England,15,0.199,0.199,0.2239,15
routine,England,16,0.2391,0.199,0.2757,14
routine,England,17,0.2391,0.199,0.2757,13
routine,England,18,0.2391,0.2422,0.2757,12
routine,England,19,0.2391,0.2422,0.2757,12
routine,England,20,0.2391,0.2422,0.2757,12
routine,England,21,0.2824,0.2422,0.336,11
routine,England,22,0.2824,0.2422,0.336,11
routine,England,23,0.2824,0.2422,0.336,11
routine,England,24,0.2824,0.2422,0.336,11
routine,England,25,0.2824,0.2422,0.336,11
routine,England,26,0.2824,0.2422,0.336,11
routine,England,27,0.2824,0.2422,0.336,11
routine,England,28,0.2824,0.2854,0.336,10
routine,England,29,0.2824,0.2854,0.336,10
routine,England,30,0.2824,0.2854,0.336,10
routine,England,31,0.2824,0.2854,0.336,9
routine,England,32,0.2824,0.2854,0.336,9
routine,England,33,0.2824,0.2854,0.336,9
routine,England,34,0.2824,0.3335,0.336,8
routine,England,35,0.2824,0.3335,0.336,8
routine,England,36,0.3304,0.3335,0.419,7
routine,England,37,0.3304,0.3335,0.419,7
routine,England,38,0.3304,0.3815,0.419,6
routine,England,39,0.3304,0.3815,0.419,6
routine,England,40,0.3304,0.3815,0.419,6
routine,England,41,0.3304,0.3815,0.419,6
routine,England,42,0.3304,0.3815,0.419,6
routine,England,43,0.3304,0.3815,0.419,5
routine,England,44,0.3304,0.3815,0.419,5
routine,England,45,0.3304,0.3815,0.419,5
routine,England,46,0.3304,0.3815,0.419,5
routine,England,47,0.3304,0.3815,0.419,5
routine,England,48,0.3304,0.3815,0.419,5
routine,England,49,0.3304,0.3815,0.419,4
routine,England,50,0.3304,0.3815,0.419,4
routine,England,51,0.3304,0.3815,0.419,4
routine,England,52,0.3304,0.3815,0.419,4
routine,England,53,0.3304,0.3815,0.419,4
routine,England,54,0.3304,0.3815,0.419,4
routine,England,55,0.4024,0.3815,0.5643,3
routine,England,56,0.4024,0.3815,0.5643,3
routine,England,57,0.4024,0.3815,0.5643,3
routine,England,58,0.4024,0.3815,0.5643,3
routine,England,59,0.4024,0.3815,0.5643,3
routine,England,60,0.4024,0.3815,0.5643,3
routine,England,61,0.4024,0.4535,0.5643,2
routine,England,62,0.4024,0.4535,0.5643,2
routine,England,63,0.4024,0.4535,0.5643,2
routine,England,64,0.4024,0.4535,0.5643,2
routine,England,65,0.4024,0.4535,0.5643,2
routine,England,66,0.4024,0.4535,0.5643,2
