metric,technology_class,phase_from,phase_to,value,unit,n_programs,period_covered,comparator_value,comparator_label,verbatim,source_url,status,notes
program_count,haematological CAR-T/TCR therapy,Phase 1,Completed,99,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Phase 1: Active 14 / 121; Completed 20 / 99; Advanced to subsequent Phase 11 / 26; No subsequent Phase 9 / 73 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'Completed' at Phase 1. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,rare disease gene therapy,Phase 1,Advanced to subsequent Phase,11,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Phase 1: Active 14 / 121; Completed 20 / 99; Advanced to subsequent Phase 11 / 26; No subsequent Phase 9 / 73 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'Advanced to subsequent Phase' at Phase 1. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,haematological CAR-T/TCR therapy,Phase 1,Advanced to subsequent Phase,26,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Phase 1: Active 14 / 121; Completed 20 / 99; Advanced to subsequent Phase 11 / 26; No subsequent Phase 9 / 73 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'Advanced to subsequent Phase' at Phase 1. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,rare disease gene therapy,Phase 1,No subsequent Phase,9,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Phase 1: Active 14 / 121; Completed 20 / 99; Advanced to subsequent Phase 11 / 26; No subsequent Phase 9 / 73 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'No subsequent Phase' at Phase 1. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,haematological CAR-T/TCR therapy,Phase 1,No subsequent Phase,73,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Phase 1: Active 14 / 121; Completed 20 / 99; Advanced to subsequent Phase 11 / 26; No subsequent Phase 9 / 73 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'No subsequent Phase' at Phase 1. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,rare disease gene therapy,Phase 1/2,Active,76,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Phase 1/2: Active 76 / 48; Completed 45 / 58; Advanced to subsequent Phase 22 / 18; No subsequent Phase 23 / 40 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'Active' at Phase 1/2. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,haematological CAR-T/TCR therapy,Phase 1/2,Active,48,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Phase 1/2: Active 76 / 48; Completed 45 / 58; Advanced to subsequent Phase 22 / 18; No subsequent Phase 23 / 40 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'Active' at Phase 1/2. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,rare disease gene therapy,Phase 1/2,Completed,45,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Phase 1/2: Active 76 / 48; Completed 45 / 58; Advanced to subsequent Phase 22 / 18; No subsequent Phase 23 / 40 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'Completed' at Phase 1/2. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,haematological CAR-T/TCR therapy,Phase 1/2,Completed,58,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Phase 1/2: Active 76 / 48; Completed 45 / 58; Advanced to subsequent Phase 22 / 18; No subsequent Phase 23 / 40 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'Completed' at Phase 1/2. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,rare disease gene therapy,Phase 1/2,Advanced to subsequent Phase,22,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Phase 1/2: Active 76 / 48; Completed 45 / 58; Advanced to subsequent Phase 22 / 18; No subsequent Phase 23 / 40 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'Advanced to subsequent Phase' at Phase 1/2. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,haematological CAR-T/TCR therapy,Phase 1/2,Advanced to subsequent Phase,18,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Phase 1/2: Active 76 / 48; Completed 45 / 58; Advanced to subsequent Phase 22 / 18; No subsequent Phase 23 / 40 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'Advanced to subsequent Phase' at Phase 1/2. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,rare disease gene therapy,Phase 1/2,No subsequent Phase,23,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Phase 1/2: Active 76 / 48; Completed 45 / 58; Advanced to subsequent Phase 22 / 18; No subsequent Phase 23 / 40 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'No subsequent Phase' at Phase 1/2. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,haematological CAR-T/TCR therapy,Phase 1/2,No subsequent Phase,40,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Phase 1/2: Active 76 / 48; Completed 45 / 58; Advanced to subsequent Phase 22 / 18; No subsequent Phase 23 / 40 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'No subsequent Phase' at Phase 1/2. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,rare disease gene therapy,Phase 2,Active,5,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Phase 2: Active 5 / 30; Completed 14 / 17; Advanced to subsequent Phase 7 / 11; No subsequent Phase 7 / 6 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'Active' at Phase 2. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,haematological CAR-T/TCR therapy,Phase 2,Active,30,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Phase 2: Active 5 / 30; Completed 14 / 17; Advanced to subsequent Phase 7 / 11; No subsequent Phase 7 / 6 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'Active' at Phase 2. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,rare disease gene therapy,Phase 2,Completed,14,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Phase 2: Active 5 / 30; Completed 14 / 17; Advanced to subsequent Phase 7 / 11; No subsequent Phase 7 / 6 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'Completed' at Phase 2. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,haematological CAR-T/TCR therapy,Phase 2,Completed,17,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Phase 2: Active 5 / 30; Completed 14 / 17; Advanced to subsequent Phase 7 / 11; No subsequent Phase 7 / 6 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'Completed' at Phase 2. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,rare disease gene therapy,Phase 2,Advanced to subsequent Phase,7,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Phase 2: Active 5 / 30; Completed 14 / 17; Advanced to subsequent Phase 7 / 11; No subsequent Phase 7 / 6 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'Advanced to subsequent Phase' at Phase 2. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,haematological CAR-T/TCR therapy,Phase 2,Advanced to subsequent Phase,11,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Phase 2: Active 5 / 30; Completed 14 / 17; Advanced to subsequent Phase 7 / 11; No subsequent Phase 7 / 6 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'Advanced to subsequent Phase' at Phase 2. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,rare disease gene therapy,Phase 2,No subsequent Phase,7,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Phase 2: Active 5 / 30; Completed 14 / 17; Advanced to subsequent Phase 7 / 11; No subsequent Phase 7 / 6 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'No subsequent Phase' at Phase 2. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,haematological CAR-T/TCR therapy,Phase 2,No subsequent Phase,6,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Phase 2: Active 5 / 30; Completed 14 / 17; Advanced to subsequent Phase 7 / 11; No subsequent Phase 7 / 6 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'No subsequent Phase' at Phase 2. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,rare disease gene therapy,Phase 3,Active,16,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Phase 3: Active 16 / 7; Completed 20 / 4; Advanced to subsequent Phase 14 / 3; No subsequent Phase 6 / 1 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'Active' at Phase 3. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,haematological CAR-T/TCR therapy,Phase 3,Active,7,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Phase 3: Active 16 / 7; Completed 20 / 4; Advanced to subsequent Phase 14 / 3; No subsequent Phase 6 / 1 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'Active' at Phase 3. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,rare disease gene therapy,Phase 3,Completed,20,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Phase 3: Active 16 / 7; Completed 20 / 4; Advanced to subsequent Phase 14 / 3; No subsequent Phase 6 / 1 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'Completed' at Phase 3. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,haematological CAR-T/TCR therapy,Phase 3,Completed,4,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Phase 3: Active 16 / 7; Completed 20 / 4; Advanced to subsequent Phase 14 / 3; No subsequent Phase 6 / 1 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'Completed' at Phase 3. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,rare disease gene therapy,Phase 3,Advanced to subsequent Phase,14,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Phase 3: Active 16 / 7; Completed 20 / 4; Advanced to subsequent Phase 14 / 3; No subsequent Phase 6 / 1 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'Advanced to subsequent Phase' at Phase 3. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,haematological CAR-T/TCR therapy,Phase 3,Advanced to subsequent Phase,3,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Phase 3: Active 16 / 7; Completed 20 / 4; Advanced to subsequent Phase 14 / 3; No subsequent Phase 6 / 1 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'Advanced to subsequent Phase' at Phase 3. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,rare disease gene therapy,Phase 3,No subsequent Phase,6,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Phase 3: Active 16 / 7; Completed 20 / 4; Advanced to subsequent Phase 14 / 3; No subsequent Phase 6 / 1 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'No subsequent Phase' at Phase 3. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,haematological CAR-T/TCR therapy,Phase 3,No subsequent Phase,1,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Phase 3: Active 16 / 7; Completed 20 / 4; Advanced to subsequent Phase 14 / 3; No subsequent Phase 6 / 1 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'No subsequent Phase' at Phase 3. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,rare disease gene therapy,Registration,Active,3,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Registration: Active 3 / 2; Completed 12 / 10 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'Active' at Registration. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,haematological CAR-T/TCR therapy,Registration,Active,2,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Registration: Active 3 / 2; Completed 12 / 10 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'Active' at Registration. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,rare disease gene therapy,Registration,Completed,12,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Registration: Active 3 / 2; Completed 12 / 10 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'Completed' at Registration. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,haematological CAR-T/TCR therapy,Registration,Completed,10,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Registration: Active 3 / 2; Completed 12 / 10 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'Completed' at Registration. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,rare disease gene therapy,Approval,Approval,12,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Approval: Approval 12 / 10; Full Approval 10 / 7; Accelerated Approval (AAP) 2 / 3; AAP with subsequent full approval 1 / 0 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'Approval' at Approval. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,haematological CAR-T/TCR therapy,Approval,Approval,10,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Approval: Approval 12 / 10; Full Approval 10 / 7; Accelerated Approval (AAP) 2 / 3; AAP with subsequent full approval 1 / 0 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'Approval' at Approval. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,rare disease gene therapy,Approval,Full Approval,10,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Approval: Approval 12 / 10; Full Approval 10 / 7; Accelerated Approval (AAP) 2 / 3; AAP with subsequent full approval 1 / 0 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'Full Approval' at Approval. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
