nct,title,status,start_date,why,phase,enrollment,sponsor,sponsor_class,conditions,interventions,fetched_date,precision_medicine_match,in_study_halted_set,start_year,stratum,cell_n,has_reason,names_financial_cause,names_financial_or_business,denies_safety_cause,why_s,blocker,biz
NCT04109092,"A Study of Stimulator of Interferon Genes (STING) Agonist E7766 in Non-muscle Invasive Bladder Cancer (NMIBC) Including Participants Unresponsive to Bacillus Calmette-Guerin (BCG) Therapy, INPUT-102",WITHDRAWN,2020-02-13,"There was no enrolment of participants.Unscheduled Clinical Study Closure - Eisai Network Company Decision, November 12, 2020.",PHASE1,0,Eisai Inc.,INDUSTRY,Urinary Bladder Neoplasms,E7766,2026-09-07,False,False,2020,phase 1 x 2019-2021,23,True,False,False,False,"There was no enrolment of participants.Unscheduled Clinical Study Closure - Eisai Network Company Decision, November 12, 2020.","Funding, business or strategic decision",True
NCT04865159,Cardiovascular Safety Study of Tipifarnib in Patients With Advanced Solid Malignancies,TERMINATED,2021-05-06,Study terminated due to recruitment challenges,PHASE1,6,"Kura Oncology, Inc.",INDUSTRY,Advanced Solid Tumor,Tipifarnib,2026-09-07,False,False,2021,phase 1 x 2019-2021,23,True,False,False,False,Study terminated due to recruitment challenges,Recruitment or feasibility failure,False
NCT03754244,A Phase I Study of TQ-B3456 on Tolerance and Pharmacokinetics,TERMINATED,2020-09-24,"The enrolment task cannot be gotten within the planned time.It mainly includes patients with non-small cell lung cancer failed in standard treatment,with a short survival period.It is hard to obtain observational endpoints for bone-related events.",PHASE1,1,"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",INDUSTRY,Non-small Cell Lung Cancer,TQB3456,2026-09-07,False,False,2020,phase 1 x 2019-2021,23,True,False,False,False,"The enrolment task cannot be gotten within the planned time.It mainly includes patients with non-small cell lung cancer failed in standard treatment,with a short survival period.It is hard to obtain observational endpoints for bone-related events.",Recruitment or feasibility failure,False
NCT04526717,Heat Shock Protein Inhibitor- MPT0B640 for COVID-19 Infection,WITHDRAWN,2021-12,Study was determined not to initiate.,PHASE1,0,J Ints Bio,INDUSTRY,Covid19,MPT0B640,2026-09-07,False,False,2021,phase 1 x 2019-2021,23,True,False,False,False,Study was determined not to initiate.,Unclear,False
NCT04996030,A Study for Oral SY-2101 for Participants With Acute Promyelocytic Leukemia,SUSPENDED,2021-09-17,Prioritization,PHASE1,16,Syros Pharmaceuticals,INDUSTRY,Acute Promyelocytic Leukemia,SY-2101|Arsenic Trioxide,2026-09-07,False,False,2021,phase 1 x 2019-2021,23,True,False,True,False,Prioritization,"Funding, business or strategic decision",True
NCT02477540,A Safety and Efficacy Study of Autologous Bone Marrow Derived Mesenchymal Stem Cells in Critical Limb Ischemia,WITHDRAWN,2019-12,Study was stopped by sponsers internal reason.,PHASE1,0,"Pharmicell Co., Ltd.",INDUSTRY,Critical Limb Ischemia,Cellgram-CLI,2026-09-07,False,False,2019,phase 1 x 2019-2021,23,True,False,False,False,Study was stopped by sponsers internal reason.,"Funding, business or strategic decision",True
NCT05092581,"COVID-19 Study of Pharmacokinetics, Safety, Tolerability, and Efficacy of Intravenous Anti-Spike(s) SARS-CoV-2 Monoclonal Antibodies (Casirivimab+Imdevimab) for the Treatment of Pediatric Patients Hospitalized Due to COVID-19",TERMINATED,2021-12-16,Emerging SARS-CoV-2 variants impacting susceptibility to study drug,PHASE1,2,Regeneron Pharmaceuticals,INDUSTRY,COVID-19,casirivimab+imdevimab,2026-09-07,False,False,2021,phase 1 x 2019-2021,23,True,False,False,False,Emerging SARS-CoV-2 variants impacting susceptibility to study drug,Efficacy failure or futility,False
NCT04117958,"Study of AMG 199 in Subjects With MUC17-Positive Solid Tumors Including Gastric, Gastroesophageal Junction, Colorectal, and Pancreatic Cancers",TERMINATED,2020-01-20,Business decision,PHASE1,58,Amgen,INDUSTRY,MUC17-positive Solid Tumors,AMG 199,2026-09-07,False,False,2020,phase 1 x 2019-2021,23,True,False,True,False,Business decision,"Funding, business or strategic decision",True
NCT04541550,Allogeneic Micronized Amniotic Membrane Product for the Treatment of Hidradenitis Suppurativa,WITHDRAWN,2021-04-01,Study didn't proceed to FDA submission,PHASE1,0,"IntegoGen, LLC",INDUSTRY,Hidradenitis Suppurativa,AMP-001 Low Dose|AMP-001 Medium Dose|AMP-001 High Dose,2026-09-07,False,False,2021,phase 1 x 2019-2021,23,True,False,False,False,Study didn't proceed to FDA submission,"Funding, business or strategic decision",True
NCT03773744,MG1-MAGEA3 With Ad-MAGEA3 and Pembrolizumab in Patients With Previously Treated Metastatic Melanoma or Cutaneous Squamous Cell Carcinoma,WITHDRAWN,2020-02-15,insufficient suitable drug supply,PHASE1,0,"Turnstone Biologics, Corp.",INDUSTRY,Metastatic Melanoma|Squamous Cell Skin Carcinoma,Ad-MAGEA3|MG1-MAGEA3|Pembrolizumab|Cyclophosphamide,2026-09-07,False,False,2020,phase 1 x 2019-2021,23,True,False,False,False,insufficient suitable drug supply,Manufacturing or product supply,False
NCT04616079,Ascending Dose Study of the Safety and Tolerability of REGN6490 in Healthy Volunteers,TERMINATED,2020-11-19,Sponsor decision,PHASE1,57,Regeneron Pharmaceuticals,INDUSTRY,Healthy Volunteer,REGN6490|Placebo,2026-09-07,False,False,2020,phase 1 x 2019-2021,23,True,False,False,False,Sponsor decision,"Funding, business or strategic decision",True
NCT04073615,A Study of Rivoceranib and Trifluridine/Tipiracil for Metastatic Colorectal Cancer (mCRC),TERMINATED,2019-11-18,Phase 2 portion of the study was not performed due to redirection of the rivoceranib development plan by the Sponsor.,PHASE1,29,Elevar Therapeutics,INDUSTRY,Metastatic Colorectal Cancer,Rivoceranib|Trifluridine/Tipiracil,2026-09-07,False,False,2019,phase 1 x 2019-2021,23,True,False,False,False,Phase 2 portion of the study was not performed due to redirection of the rivoceranib development plan by the Sponsor.,"Funding, business or strategic decision",True
NCT04905121,Phase 1b Study in Patients With Short-Lasting Unilateral Neuralgiform Headache Attacks (SUNHA),TERMINATED,2021-08-11,Unable to recruit patient population,PHASE1,4,Beckley Psytech Limited,INDUSTRY,Short Lasting Unilateral Neuralgiform Headache Attacks,Psilocybin,2026-09-07,False,False,2021,phase 1 x 2019-2021,23,True,False,False,False,Unable to recruit patient population,Recruitment or feasibility failure,False
NCT04186637,An Open-label Study of ALPN-202 in Subjects With Advanced Malignancies,TERMINATED,2020-06-02,Sponsor decision,PHASE1,62,"Alpine Immune Sciences, Inc.",INDUSTRY,Advanced Solid Tumor|Lymphoma,ALPN-202,2026-09-07,False,False,2020,phase 1 x 2019-2021,23,True,False,False,False,Sponsor decision,"Funding, business or strategic decision",True
NCT04918511,A Study of OPD5 Followed by Autologous Stem Cell Transplant for Patients With Relapsed Refractory Multiple Myeloma,WITHDRAWN,2021-05-27,Sponsor made the decision to terminate the COAST study to refocus the OPD5 clinical program.,PHASE1,0,Oncopeptides AB,INDUSTRY,Relapse Multiple Myeloma|Multiple Myeloma,OPD5,2026-09-07,False,False,2021,phase 1 x 2019-2021,23,True,False,False,False,Sponsor made the decision to terminate the COAST study to refocus the OPD5 clinical program.,"Funding, business or strategic decision",True
NCT05068856,A Study of HRS2543 in Patients With Advanced Tumors,TERMINATED,2021-12-28,R\&d strategy adjustment,PHASE1,10,"Shanghai Hengrui Pharmaceutical Co., Ltd.",INDUSTRY,Advanced Tumors,HRS2543,2026-09-07,False,False,2021,phase 1 x 2019-2021,23,True,False,True,False,R\&d strategy adjustment,"Funding, business or strategic decision",True
NCT04643769,Evaluation of Oral ORIN1001 in Subjects With Idiopathic Pulmonary Fibrosis (IPF),SUSPENDED,2021-02-09,Partnership activities ongoing,PHASE1,24,"Orinove, Inc.",INDUSTRY,Idiopathic Pulmonary Fibrosis,ORIN1001|Placebo,2026-09-07,False,False,2021,phase 1 x 2019-2021,23,True,False,False,False,Partnership activities ongoing,"Funding, business or strategic decision",True
NCT04730427,Safety and Preliminary Efficacy Study of GX-I7 in Patients With COVID-19,TERMINATED,2021-03-24,Sponsor's decision,PHASE1,10,"Genexine, Inc.",INDUSTRY,Covid19,GX-I7|GX-I7 vehicle,2026-09-07,False,False,2021,phase 1 x 2019-2021,23,True,False,False,False,Sponsor's decision,"Funding, business or strategic decision",True
NCT04460105,Lanadelumab in Participants Hospitalized With COVID-19 Pneumonia,WITHDRAWN,2020-10-31,Study was withdrawn due to challenges in site recruitment and lack of patient enrollment,PHASE1,0,Shire,INDUSTRY,COVID-19 Pneumonia,Lanadelumab|Placebo,2026-09-07,False,False,2020,phase 1 x 2019-2021,23,True,False,False,False,Study was withdrawn due to challenges in site recruitment and lack of patient enrollment,Recruitment or feasibility failure,False
NCT04404790,Antiplatelet Thrombolysin (Anfibatide) Phase 1 Clinical Trial in Healthy Volunteers,SUSPENDED,2020-09,Optimization of protocol,PHASE1,50,Lee's Pharmaceutical Limited,INDUSTRY,Antiplatelet Drug,Anfibatide 5 IU/60kg|Anfibatide 5 IU/60kg +0.002 IU/kg/h|Anfibatide 5 IU/60kg +0.004 IU/kg/h|Anfibatide 5 IU/60kg +0.008 IU/kg/h|Anfibatide 7 IU/60kg|Anfibatide 7 IU/60kg +0.002 IU/kg/h|Anfibatide 7 IU/60kg +0.004 IU/kg/h|Anfibatide 7 IU/60kg +0.008 IU/kg/h,2026-09-07,False,False,2020,phase 1 x 2019-2021,23,True,False,False,False,Optimization of protocol,Protocol redesign or replacement,False
NCT04958434,Study of TST005 in Patients With Locally Advanced or Metastatic Solid Tumors,TERMINATED,2021-06-11,Corporate Decision,PHASE1,19,"Suzhou Transcenta Therapeutics Co., Ltd.",INDUSTRY,Locally Advanced or Metastatic Cancers|Metastatic Human Papillomavirus-Related Malignant Neoplasm,TST005,2026-09-07,False,False,2021,phase 1 x 2019-2021,23,True,False,False,False,Corporate Decision,"Funding, business or strategic decision",True
NCT04483297,First-In-Human Study of AK1320 Encapsulated Microspheres (AK1320 MS),TERMINATED,2020-11-18,Sponsor decision,PHASE1,30,Asahi Kasei Therapeutics Corporation,INDUSTRY,Degenerative Spondylolisthesis|Spinal Stenosis,AK1320 MS|Control,2026-09-07,False,False,2020,phase 1 x 2019-2021,23,True,False,False,False,Sponsor decision,"Funding, business or strategic decision",True
NCT04178902,A Study of the Safety and Tolerability of ABBV-467 in Adult Participants With Relapsed/Refractory (R/R) Multiple Myeloma,TERMINATED,2020-05-19,Strategic considerations,PHASE1,8,AbbVie,INDUSTRY,Multiple Myeloma (MM)|Cancer,ABBV-467,2026-09-07,False,False,2020,phase 1 x 2019-2021,23,True,False,True,False,Strategic considerations,"Funding, business or strategic decision",True
NCT04162301,A Study of CS3002 in Subjects With Advanced Solid Tumors,TERMINATED,2019-12-30,The study has been stopped for strategic and business reasons.,PHASE1,10,CStone Pharmaceuticals,INDUSTRY,Advanced Solid Tumor,CS3002,2026-09-07,False,False,2019,phase 1 x 2019-2021,23,True,False,True,False,The study has been stopped for strategic and business reasons.,"Funding, business or strategic decision",True
NCT04959266,"A Study to Assess the Effects of Itraconazole, Rifampicin, and Omeprazole on Pharmacokinetics of Adavosertib",TERMINATED,2021-06-28,The study terminated because the clinical development programme for Adavosertib has been discontinued,PHASE1,5,AstraZeneca,INDUSTRY,Advanced Solid Tumours,Adavosertib|Itraconazole|Rifampicin|Omeprazole,2026-09-07,False,False,2021,phase 1 x 2019-2021,23,True,False,False,False,The study terminated because the clinical development programme for Adavosertib has been discontinued,"Funding, business or strategic decision",True
NCT03710915,A Study of HG146 Capsule in Chinese Subjects with Relapsed and Refractory Multiple Myeloma,TERMINATED,2019-01-12,Company decision,PHASE1,3,HitGen Inc.,INDUSTRY,Multiple Myeloma|Relapsed and Refractory Multiple Myeloma,HG146,2026-09-07,False,False,2019,phase 1 x 2019-2021,23,True,False,False,False,Company decision,"Funding, business or strategic decision",True
NCT05083481,"A Study of ASP1570 Taken by Itself, or ASP1570 Taken Together With Either Pembrolizumab, Standard Therapies, or Both, in Adults With Solid Tumors",TERMINATED,2021-10-19,Lack of clinical benefit,PHASE1,226,"Astellas Pharma Global Development, Inc.",INDUSTRY,Advanced Solid Tumors,ASP1570|pembrolizumab|Trifluridine + Tipiracil|Bevacizumab|Docetaxel|Oxaliplatin|Leucovorin|5-Fluorouracil|Irinotecan|Pemetrexed|Carboplatin,2026-09-07,False,False,2021,phase 1 x 2019-2021,23,True,False,False,False,Lack of clinical benefit,Efficacy failure or futility,False
NCT04865419,Study of AZD0466 Monotherapy or in Combination in Patients With Advanced Haematological Malignancies,TERMINATED,2021-06-11,Trial terminated based on benefit-risk profile assessment,PHASE1,46,AstraZeneca,INDUSTRY,Haematological Malignancies,AZD0466|Voriconazole,2026-09-07,False,False,2021,phase 1 x 2019-2021,23,True,False,False,False,Trial terminated based on benefit-risk profile assessment,Safety or toxicity,False
NCT04994002,"A Pharmacokinetic, Pharmacodynamic, Safety and Tolerability Study of CERC-006 in Adults With Complex Lymphatic Malformations",WITHDRAWN,2021-09-03,Sponsor Decision,PHASE1,0,"Avalo Therapeutics, Inc.",INDUSTRY,Lymphatic Malformation,CERC-006,2026-09-07,False,False,2021,phase 1 x 2019-2021,23,True,False,False,False,Sponsor Decision,"Funding, business or strategic decision",True
NCT03890341,"Study in Women on the Effect of JNJ-64530440 on Oral Contraceptive and Midazolam, and the Effect of a High-fat Meal on JNJ-64530440",WITHDRAWN,2021-06-01,Stopped due to a strategic decision.,PHASE1,0,"Janssen Research & Development, LLC",INDUSTRY,Healthy,Drospirenone/Ethinylestradiol|Midazolam|JNJ-64530440,2026-09-07,False,False,2021,phase 1 x 2019-2021,23,True,False,True,False,Stopped due to a strategic decision.,"Funding, business or strategic decision",True
NCT04965818,Phase 1b/2 Study of Futibatinib in Combination With Binimetinib in Patients With Advanced KRAS Mutant Cancer,TERMINATED,2021-09-20,Strategic decision by sponsor.,PHASE1,38,"Taiho Oncology, Inc.",INDUSTRY,Advanced or Metastatic Solid Tumors Irrespective of Gene Alterations|Non-Small Cell Lung Cancer|KRAS Gene Mutation,Futibatinib and Binimetinib,2026-09-07,False,False,2021,phase 1 x 2019-2021,23,True,False,True,False,Strategic decision by sponsor.,"Funding, business or strategic decision",True
NCT05177029,Safety and Tolerability Study of Lu AG06466 in Healthy Young Japanese and Caucasian Participants,TERMINATED,2021-11-26,The study was terminated for strategic reasons.,PHASE1,24,H. Lundbeck A/S,INDUSTRY,Healthy Volunteers,Lu AG06466|Placebo,2026-09-07,False,False,2021,phase 1 x 2019-2021,23,True,False,True,False,The study was terminated for strategic reasons.,"Funding, business or strategic decision",True
NCT04356677,Study to Evaluate the Safety and Efficacy of VIRAZOLE® in Hospitalized Adult Participants With Respiratory Distress Due to COVID-19_#2,WITHDRAWN,2021-05,"Due to pandemic status changing in Canada prior to investigative sites being initiated for participation, and that concurrent participant recruitment in the global study BHC-RIB-5401-GL will achieve target enrollment across all countries.",PHASE1,0,"Bausch Health Americas, Inc.",INDUSTRY,COVID19,50 mg/mL Virazole|100 mg/mL Virazole,2026-09-07,False,False,2021,phase 1 x 2019-2021,23,True,True,True,False,"Due to pandemic status changing in Canada prior to investigative sites being initiated for participation, and that concurrent participant recruitment in the global study BHC-RIB-5401-GL will achieve target enrollment across all countries.",COVID-19 disruption,False
NCT04421222,Oral EPI-7386 in Patients with Castration-Resistant Prostate Cancer,TERMINATED,2020-06-23,Study was terminated early due to a lack of improved efficacy.,PHASE1,71,ESSA Pharmaceuticals,INDUSTRY,Prostate Cancer,EPI-7386 (QD)|EPI-7386 (BID)|Abiraterone acetate|Apalutamide,2026-09-07,False,False,2020,phase 1 x 2019-2021,23,True,False,False,False,Study was terminated early due to a lack of improved efficacy.,Efficacy failure or futility,False
NCT04283526,Study of Select Combinations in Adults With Myelofibrosis,WITHDRAWN,2020-11-30,This study was cancelled before enrolling any patients for business related reasons.,PHASE1,0,Novartis Pharmaceuticals,INDUSTRY,Primary Myelofibrosis|Myelofibrosis|PMF|Post-Essential Thrombocythemia Myelofibrosis|Post-Polycythemia Vera Myelofibrosis,MBG453|NIS793|Spartalizumab|Decitabine,2026-09-07,False,False,2020,phase 1 x 2019-2021,23,True,False,True,False,This study was cancelled before enrolling any patients for business related reasons.,"Funding, business or strategic decision",True
NCT04401020,First-in-human Single Agent Study of SAR442257 in RRMM and RR-NHL,TERMINATED,2020-07-24,Sponsor decision based on limited clinical benefit observed in both Multiple Myeloma and Non-Hodgkin Lymphoma cohorts,PHASE1,47,Sanofi,INDUSTRY,Neoplasm Malignant,SAR442257,2026-09-07,False,False,2020,phase 1 x 2019-2021,23,True,False,False,False,Sponsor decision based on limited clinical benefit observed in both Multiple Myeloma and Non-Hodgkin Lymphoma cohorts,Efficacy failure or futility,False
NCT04513548,Study of Mechanism of Action of Ligelizumab (QGE031) in Patients With Chronic Urticaria,TERMINATED,2020-08-05,Company decision,PHASE1,11,Novartis Pharmaceuticals,INDUSTRY,Chronic Spontaneous Urticaria|Cholinergic Urticaria|Cold Urticaria,Ligelizumab|Placebo,2026-09-07,False,False,2020,phase 1 x 2019-2021,23,True,False,False,False,Company decision,"Funding, business or strategic decision",True
NCT04001231,Study of Exenatide Once-Weekly Suspension in Chinese Patients With Type 2 Diabetes Mellitus,WITHDRAWN,2020-06-30,The study is stopped based upon strategic considerations impacting the clinical development of exenatide once-weekly suspension in China,PHASE1,0,AstraZeneca,INDUSTRY,Type 2 Diabetes,Exenatide Once-Weekly Suspension,2026-09-07,False,False,2020,phase 1 x 2019-2021,23,True,False,True,False,The study is stopped based upon strategic considerations impacting the clinical development of exenatide once-weekly suspension in China,"Funding, business or strategic decision",True
NCT04106050,Pharmacodynamic Study of BIIB095 and BIIB074 in Healthy Participants and Participants With Painful Diabetic Polyneuropathy,WITHDRAWN,2020-09-30,Sponsor Decision,PHASE1,0,Biogen,INDUSTRY,Healthy Volunteers|Diabetic Neuropathies,BIIB095|BIIB074|Placebo|Lidocaine,2026-09-07,False,False,2020,phase 1 x 2019-2021,23,True,False,False,False,Sponsor Decision,"Funding, business or strategic decision",True
NCT04120246,Alpha-TEA and Trastuzumab for the Treatment of Refractory HER2+ Metastatic Breast Cancer,SUSPENDED,2020-04-08,Study placed on hold.,PHASE1,24,Veana Therapeutics,INDUSTRY,Anatomic Stage IV Breast Cancer AJCC v8|HER2 Positive Breast Carcinoma|Metastatic Breast Carcinoma|Refractory Breast Carcinoma,Alpha-tocopheryloxyacetic Acid|Trastuzumab,2026-09-07,False,False,2020,phase 1 x 2019-2021,23,True,False,False,False,Study placed on hold.,Unclear,False
NCT04171141,Study to Test the Safety and Tolerability of PF-07062119 in Patients With Selected Advanced or Metastatic Gastrointestinal Tumors.,TERMINATED,2019-11-19,Study was terminated due to strategic considerations and not due to safety.,PHASE1,79,Pfizer,INDUSTRY,Gastrointestinal Tumors|Colorectal Adenocarcinomas|Gastric Adenocarcinomas|Esophageal Adenocarcinomas,PF-07062119|Anti-PD1|Anti-VEGF,2026-09-07,False,False,2019,phase 1 x 2019-2021,23,True,False,True,True,Study was terminated due to strategic considerations and not due to safety.,"Funding, business or strategic decision",True
NCT03772288,A Study of TAK-659 in Combination With NKTR-214 in Participants With Advanced Non-Hodgkin Lymphoma (NHL),WITHDRAWN,2019-04-03,Business Decision: No Safety or Efficacy Concerns,PHASE1,0,"Calithera Biosciences, Inc",INDUSTRY,"Lymphoma, Non-Hodgkin",TAK-659|NKTR-214,2026-09-07,False,False,2019,phase 1 x 2019-2021,23,True,False,True,False,Business Decision: No Safety or Efficacy Concerns,"Funding, business or strategic decision",True
NCT03954704,Study of Dalutrafusp Alfa (Formerly GS-1423) in Participants With Advanced Solid Tumors,TERMINATED,2019-06-03,"The decision to discontinue the study was made based on the totality of the clinical, pharmacokinetic, and pharmacodynamic findings. No safety concerns were observed.",PHASE1,22,Gilead Sciences,INDUSTRY,Advanced Solid Tumors,Dalutrafusp alfa|mFOLFOX6 Regimen|Dalutrafusp alfa,2026-09-07,False,False,2019,phase 1 x 2019-2021,23,True,False,False,True,"The decision to discontinue the study was made based on the totality of the clinical, pharmacokinetic, and pharmacodynamic findings. No safety concerns were observed.",Efficacy failure or futility,False
NCT04853498,A Study to Evaluate the Tolerance and Pharmacokinetics of TQB3720 Tablets,TERMINATED,2021-06-09,Per sponsor request. Premature closure was not prompted by any safety or efficacy concerns.,PHASE1,192,"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",INDUSTRY,Metastatic Castration-resistant Prostate Cancer,TQB3720,2026-09-07,False,False,2021,phase 1 x 2019-2021,23,True,False,False,False,Per sponsor request. Premature closure was not prompted by any safety or efficacy concerns.,"Funding, business or strategic decision",True
NCT04987944,Safety and Efficacy Active Drug vs. Placebo in Subjects With Asthma,TERMINATED,2021-10-18,Strategic decision to discontinue the study based on adjusted clinical development plan. This decision is not based on any safety concerns.,PHASE1,45,Pfizer,INDUSTRY,Asthma,Zavegepant|Placebo,2026-09-07,False,False,2021,phase 1 x 2019-2021,23,True,False,True,False,Strategic decision to discontinue the study based on adjusted clinical development plan. This decision is not based on any safety concerns.,"Funding, business or strategic decision",True
NCT04736745,Study to Evaluate the Safety and Efficacy of IPN59011 in Improving the Appearance of Moderate to Severe Upper Facial Lines.,TERMINATED,2021-02-10,Sponsor terminated the study due to strategic considerations,PHASE1,56,Ipsen,INDUSTRY,Moderate Upper Facial Lines|Severe Upper Facial Lines,IPN59011|Azzalure|Placebo,2026-09-07,False,False,2021,phase 1 x 2019-2021,23,True,False,True,False,Sponsor terminated the study due to strategic considerations,"Funding, business or strategic decision",True
NCT03780465,A Study of Safety and Tolerability of NOX66 in Healthy Volunteers,WITHDRAWN,2019-03-01,Decision to obtain PK data at a later date,PHASE1,0,Noxopharm Limited,INDUSTRY,Healthy Volunteers,Oral idronoxil suspension|NOX66 (A)|NOX66 (B),2026-09-07,False,False,2019,phase 1 x 2019-2021,23,True,False,False,False,Decision to obtain PK data at a later date,"Funding, business or strategic decision",True
NCT04234113,Study of Nanrilkefusp Alfa Alone and With Pembrolizumab in Adult Patients With Advanced/Metastatic Solid Tumors,TERMINATED,2019-06-13,Due to lack of efficacy shown at the time of the interim analysis.,PHASE1,115,SOTIO Biotech AG,INDUSTRY,Thyroid Cancer|Renal Cell Carcinoma|Non Small Cell Lung Cancer|Small-cell Lung Cancer|Bladder Cancer|Melanoma|Merkel Cell Carcinoma|Skin Squamous Cell Carcinoma|Microsatellite Instability High|Triple Negative Breast Cancer|Mesothelioma|Thymic Cancer|Cervical Cancer|Biliary Tract Cancer|Hepatocellular Carcinoma|Ovarian Cancer|Gastric Cancer|Head and Neck Squamous Cell Carcinoma|Anal Cancer,Nanrilkefusp alfa|Pembrolizumab,2026-09-07,False,False,2019,phase 1 x 2019-2021,23,True,False,False,False,Due to lack of efficacy shown at the time of the interim analysis.,Efficacy failure or futility,False
NCT05028114,Tricaprilin Liquid Formulation PK Study,TERMINATED,2021-08-31,"Part 1 was completed, Part 2 and Part 3 of the study were not conducted under this study protocol due to subject recruitment difficulty.",PHASE1,71,Cerecin,INDUSTRY,Alzheimer Disease,AC-1202|AC-OLE-01|AC-OLE-02|AC-OLE-03|AC-OLE-04|AC-OLE-05|AC-OLE-06|AC-OLE-07|AC-OLE-08|AC-OLE-09|AC-OLE-010|AC-OLE-P,2026-09-07,False,False,2021,phase 1 x 2019-2021,23,True,False,False,False,"Part 1 was completed, Part 2 and Part 3 of the study were not conducted under this study protocol due to subject recruitment difficulty.",Recruitment or feasibility failure,False
NCT03936959,"A Study of LY3434172, a PD-1 and PD-L1 Bispecific Antibody, in Advanced Cancer",TERMINATED,2019-05-24,Study did not achieve its primary objective due to early termination of the study,PHASE1,10,Eli Lilly and Company,INDUSTRY,Advanced Cancer,LY3434172,2026-09-07,False,False,2019,phase 1 x 2019-2021,23,True,False,False,False,Study did not achieve its primary objective due to early termination of the study,Unclear,False
NCT04044781,"A Phase 1, Open-Label, PET Study of T2310 & BPN14770",WITHDRAWN,2020-01-10,Change in Research Direction,PHASE1,0,Tetra Discovery Partners,INDUSTRY,To Determine Brain Target Occupancy of BPN14770,"BPN14770, T2310",2026-09-07,False,False,2020,phase 1 x 2019-2021,23,True,False,False,False,Change in Research Direction,"Funding, business or strategic decision",True
NCT04404140,"A Study Evaluating The Safety, Efficacy and Pharmacokinetics Of Ipatasertib In Combination With Atezolizumab And Docetaxel In Metastatic Castration-Resistant Prostate Cancer (mCRPC).",TERMINATED,2020-07-09,"Despite many risk-minimization strategies, the combination of ipatasertib, atezolizumab and docetaxel was challenging due to multiple study treatment modifications required to manage toxicity, making further enrollment inappropriate.",PHASE1,6,Hoffmann-La Roche,INDUSTRY,Castration-Resistant Prostatic Cancer,Ipatasertib|Atezolizumab|Docetaxel,2026-09-07,False,False,2020,phase 1 x 2019-2021,23,True,False,True,False,"Despite many risk-minimization strategies, the combination of ipatasertib, atezolizumab and docetaxel was challenging due to multiple study treatment modifications required to manage toxicity, making further enrollment inappropriate.",Safety or toxicity,False
NCT04025307,"Phase I Trial of bacTRL-IL-12 in Adult Subjects With Advanced, Treatment-refractory Solid Tumours",TERMINATED,2019-08-05,Sponsor decision,PHASE1,5,IQVIA Pty Ltd,INDUSTRY,Cancer - Solid Tumours,bacTRL-IL-12,2026-09-07,False,False,2019,phase 1 x 2019-2021,23,True,False,False,False,Sponsor decision,"Funding, business or strategic decision",True
NCT04261439,A Phase I/Ib Study of NIZ985 Alone and in Combination With Spartalizumab,TERMINATED,2020-02-27,Sponsor's decision and not due to any safety concerns,PHASE1,60,Novartis Pharmaceuticals,INDUSTRY,"In Escalation: All Patients With Solid Tumors and Lymphoma|In Expansion: Melanoma, Non-small Cell Lung Cancer",NIZ985|Spartalizumab|Tislelizumab,2026-09-07,False,False,2020,phase 1 x 2019-2021,23,True,False,False,True,Sponsor's decision and not due to any safety concerns,"Funding, business or strategic decision",True
NCT05007977,Effect of ZT-01 on Glucagon During Hypoglycemia in Type 1 Diabetes Mellitus,TERMINATED,2021-07-08,The study was completed following review of the assumptions underlying the power calculation and it was deemed that enough subjects had been recruited to complete enrollment,PHASE1,24,Zucara Therapeutics Inc.,INDUSTRY,Type 1 Diabetes|Hypoglycemia,ZT-01 low dose|ZT-01 high dose|Placebo,2026-09-07,False,False,2021,phase 1 x 2019-2021,23,True,False,False,False,The study was completed following review of the assumptions underlying the power calculation and it was deemed that enough subjects had been recruited to complete enrollment,Protocol redesign or replacement,False
NCT04199598,Relative Bioavailability Study With Abediterol Administered Via Three Different Inhalation Devices in Healthy Volunteers.,TERMINATED,2020-01-28,The decision to terminate has been taken by the Sponsor. The decision is not due to safety concerns but reflects business prioritizations of the company.,PHASE1,25,AstraZeneca,INDUSTRY,Chronic Obstructive Pulmonary Disease,Abediterol (2.4 μg)|Abediterol (4.8 μg)|Abediterol (2.4 μg)|Abediterol (2.5 μg),2026-09-07,False,False,2020,phase 1 x 2019-2021,23,True,False,True,True,The decision to terminate has been taken by the Sponsor. The decision is not due to safety concerns but reflects business prioritizations of the company.,"Funding, business or strategic decision",True
NCT04892017,Study of Inlexisertib (DCC-3116) in Participants With RAS/MAPK Pathway Mutant Solid Tumors,TERMINATED,2021-06-15,"Trial terminated due to business decision, not based on any safety or efficacy concerns.",PHASE1,91,"Deciphera Pharmaceuticals, LLC",INDUSTRY,Non-Small Cell Lung Cancer|Advanced Solid Tumor|Metastatic Solid Tumor,Inlexisertib|Trametinib|Binimetinib|Sotorasib,2026-09-07,False,False,2021,phase 1 x 2019-2021,23,True,False,True,False,"Trial terminated due to business decision, not based on any safety or efficacy concerns.","Funding, business or strategic decision",True
