why,human_category,categories_allowed
Study discontinued due to sponsor decision,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
"Study halted prematurely, prior to enrollment of first participant due to PI not employment at University.",,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
There was no significant difference between placebo and control.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
PI left University,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
The trial was discontinued due to sponsor's decision and not a consequence of any safety concern,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
No IRB approval,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Lead Researcher left the Department,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Study was terminated due to administrative reasons.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
PI left NIH,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
The PI decides to withdraw the research.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
The study is terminated due to cessation of the research collaboration with Russian institutions,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Sponsor decision; not due to any safety concerns related to DTX101.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Departure and non-replacement of the person in charge of the biological examinations specific to research carried out within the LIRYC IHU.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Repeated application of the same project,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Due to the COVID-19 pandemic,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
The study had to be cancelled do to the Covid-19 pandemic,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Significant protocol modifications needed for feasibility. This will require a version 2.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Interim analysis indicated adaptions may be required.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
No longer following patient and no plans to publish.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Administrative decision,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
PI departure.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Due to the PI's determination,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Long term safety follow-up no longer required,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Strategic Portfolio Decision,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
IMP owner decision,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
funding not available,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
"Study-related difficulties faced with patient enrolment, no safety-related reasons",,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
small number of patients enrolled,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
pipeline adjustment,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
"Following a recent cellular therapy strategy assessment, Amgen has decided to cancel study 20180091.",,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Logistical difficulties,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Business objectives have changed,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
This study was terminated due to lack of efficacy,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
recruitment challenges and sites who initially expressed interest declined.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Application withdrawn from the IRB.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
funding term ended,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
defect inclusion,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
"Due to the sponsor's adjustment of the research and development strategy for this clinical trial, this study was prematurely terminated, and no subjects were recruited for this study.",,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
abandoned before opening,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
study was not started.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Stopped due to low enrollment,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
no subcontractors for management of connected watches,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Because of COVID 19 we experienced slow pace of recruitment.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
"After careful consideration and review of the data, the study team has determined that it is in the best interest of all parties involved to conclude the study at this juncture.",,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Investigator moved to new institution,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Insufficient funds to complete the study.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Early study closure due to limited internal resources to continue enrollment.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
The sponsor decides withdrawn this study.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Lack of manpower,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Closed per SRC Low Accrual Policy,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
"After reviewing the data and taking into consideration the available treatment landscape in r/r DLBCL, Autolus didn't progress into the Phase II part of the study and submitted a Notification of End of Trial (MHRA reference 46113/0003/001-0016).",,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Study's Principal Investigator no longer at the institution.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
"This study was voluntarily terminated due to a business decision not to proceed, and not due to any safety or efficacy issue.",,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
closed by PI and FDA,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Covid-19,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Loss of funding due to difficulty with recruitment and participant retention.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Data Analysis,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
imbalance of gastrointestinal and the lipase events,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Sponsor decided to end the study,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Terminated - Halted Prematurely,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
"Initiation of study has been paused, but may re-start in the future.",,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
The termination of the study was a business decision made by the sponsor.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
"The study was terminated at the interim point due to the covid-19 pandemic, which did not allow completing full recruitment in relevant timelines",,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
"The other study was concluded as planned upon reaching its predetermined endpoint, which included the completion of data collection and achievement of the necessary sample size for statistical significance.",,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Both the sponsors and collaborator are considering terminating the study.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
The study was withdrawn due to the inability to enroll participants.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
"This non-therapeutic study was registered in error. The PRS team doesn't delete studies once registered, so they recommended changing the status to Withdrawn",,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Key samples protocols will be provided by a collaborator and we were not able to produce IPS lines from human fibroblasts.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
The study was withdrawn before opening,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Incorporation of LTFU into the main interventional study.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
The clinical trial was terminated due to a change in sponsor strategy.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Sponsor's decision,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Need improve the strategy,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Will study new T-cell construct for the same indication,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
We decided to move on to another product and as a result will not be moving forward with this study.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
"The enrollment of study subjects and their compliance with using the APP have been challenging. Due to the funding period having ended, the research team has decided to terminate the study at this stage and conduct a preliminary analysis.",,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Patients recruitment was difficult and the primary author quitted her role.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
"Despite modifications, accrual was poor and the closed",,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Sponsor changed product development plan,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Site plans to become a site for a multicenter study of this therapy,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Due to a Dose Limiting Toxicity in another sister trial with same technology.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
The sponsor terminated funding for the study.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Study did not commence,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
"As the laboratory due to carry out the biological analyses withdrew, the project did not go ahead",,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Study is being terminated due to a business decision.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Slow accrual,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Decision made based on Interim Analysis Results,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Study was withdrawn prior to enrollment due to dissolution of collaborative partnership. The protocol may be reactivated in the future under new collaboration.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
already submitted on NCT05859048,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
IND Sponsor-Investigator left institution,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Organisation issues,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Eligible subjects will be enrolled in Celgene's long-term follow-up protocol for subjects previously treated with a CAR T-cell product.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Changes in treatment plans affecting drug therapy choices,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Pipeline Reprioritization,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
The funder stopped to fund this study.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
